VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
550 1000 300 1200 10 200 0 248 4304 5207 349 1505 2023
550 1000 300 1200 10 200 100 257 5934 7504 361 2833 4468
550 1000 300 1200 10 200 200 266 7635 9516 373 4221 6533
550 1000 300 1200 10 200 300 276 9421 11339 386 5709 8402
550 1000 300 1200 10 200 400 286 11297 13017 400 7274 10110
550 1000 300 1200 10 225 0 250 4301 5207 350 1505 2023
550 1000 300 1200 10 225 100 259 5931 7504 361 2833 4468
550 1000 300 1200 10 225 200 268 7632 9516 373 4221 6533
550 1000 300 1200 10 225 300 278 9417 11339 386 5709 8402
550 1000 300 1200 10 225 400 288 11294 13017 400 7274 10110
550 1000 300 1200 10 250 0 251 4298 5207 350 1505 2023
550 1000 300 1200 10 250 100 260 5928 7504 361 2833 4468
550 1000 300 1200 10 250 200 270 7629 9516 373 4221 6533
550 1000 300 1200 10 250 300 279 9414 11339 386 5709 8402
550 1000 300 1200 10 250 400 290 11291 13017 400 7274 10110
550 1000 300 1200 10 275 0 253 4296 5207 350 1505 2023
550 1000 300 1200 10 275 100 262 5925 7504 361 2833 4468
550 1000 300 1200 10 275 200 271 7625 9516 374 4221 6533
550 1000 300 1200 10 275 300 281 9411 11339 387 5709 8402
550 1000 300 1200 10 275 400 291 11287 13017 400 7274 10110
550 1000 300 1200 10 300 0 254 4293 5207 350 1505 2023
550 1000 300 1200 10 300 100 263 5922 7504 361 2833 4468
550 1000 300 1200 10 300 200 273 7623 9516 374 4221 6533
550 1000 300 1200 10 300 300 283 9408 11339 387 5709 8402
550 1000 300 1200 10 300 400 293 11284 13017 400 7274 10110
550 1000 300 1200 20 200 0 250 4342 5207 356 1535 2023
550 1000 300 1200 20 200 100 259 5979 7504 368 2871 4468
550 1000 300 1200 20 200 200 269 7686 9516 381 4269 6533
550 1000 300 1200 20 200 300 279 9481 11339 394 5767 8402
550 1000 300 1200 20 200 400 289 11365 13017 408 7342 10110
550 1000 300 1200 20 225 0 252 4340 5207 356 1535 2023
550 1000 300 1200 20 225 100 261 5976 7504 368 2871 4468
550 1000 300 1200 20 225 200 270 7684 9516 381 4269 6533
550 1000 300 1200 20 225 300 280 9477 11339 394 5767 8402
550 1000 300 1200 20 225 400 290 11362 13017 408 7342 10110
550 1000 300 1200 20 250 0 253 4337 5207 356 1535 2023
550 1000 300 1200 20 250 100 262 5973 7504 368 2871 4468
550 1000 300 1200 20 250 200 272 7681 9516 381 4269 6533
550 1000 300 1200 20 250 300 282 9474 11339 394 5767 8402
550 1000 300 1200 20 250 400 292 11358 13017 408 7342 10110
550 1000 300 1200 20 275 0 255 4334 5207 357 1535 2023
550 1000 300 1200 20 275 100 264 5971 7504 368 2871 4468
550 1000 300 1200 20 275 200 274 7678 9516 381 4269 6533
550 1000 300 1200 20 275 300 284 9471 11339 394 5767 8402
550 1000 300 1200 20 275 400 294 11355 13017 408 7342 10110
550 1000 300 1200 20 300 0 256 4332 5207 357 1535 2023
550 1000 300 1200 20 300 100 266 5968 7504 368 2871 4468
550 1000 300 1200 20 300 200 275 7675 9516 381 4269 6533
550 1000 300 1200 20 300 300 285 9468 11339 394 5767 8402
550 1000 300 1200 20 300 400 296 11352 13017 408 7342 10110
550 1000 300 1200 30 200 0 252 4375 5207 362 1559 2023
550 1000 300 1200 30 200 100 261 6017 7504 374 2901 4468
550 1000 300 1200 30 200 200 271 7731 9516 387 4306 6533
550 1000 300 1200 30 200 300 281 9530 11339 400 5811 8402
550 1000 300 1200 30 200 400 291 11421 13017 413 7394 10110
550 1000 300 1200 30 225 0 254 4372 5207 362 1559 2023
550 1000 300 1200 30 225 100 263 6014 7504 374 2901 4468
550 1000 300 1200 30 225 200 272 7728 9516 387 4306 6533
550 1000 300 1200 30 225 300 282 9527 11339 400 5811 8402
550 1000 300 1200 30 225 400 293 11418 13017 413 7394 10110
550 1000 300 1200 30 250 0 255 4370 5207 362 1558 2023
550 1000 300 1200 30 250 100 264 6012 7504 374 2901 4468
550 1000 300 1200 30 250 200 274 7725 9516 387 4306 6533
550 1000 300 1200 30 250 300 284 9524 11339 400 5811 8402
550 1000 300 1200 30 250 400 294 11414 13017 413 7393 10110
550 1000 300 1200 30 275 0 257 4367 5207 362 1558 2023
550 1000 300 1200 30 275 100 266 6009 7504 374 2901 4468
550 1000 300 1200 30 275 200 276 7722 9516 387 4306 6533
550 1000 300 1200 30 275 300 286 9521 11339 400 5811 8402
550 1000 300 1200 30 275 400 296 11411 13017 413 7393 10110
550 1000 300 1200 30 300 0 258 4364 5207 362 1558 2023
550 1000 300 1200 30 300 100 268 6006 7504 374 2901 4468
550 1000 300 1200 30 300 200 277 7718 9516 387 4305 6533
550 1000 300 1200 30 300 300 287 9518 11339 400 5811 8402
550 1000 300 1200 30 300 400 298 11408 13017 413 7393 10110
550 1000 300 1200 40 200 0 254 4404 5207 366 1578 2023
550 1000 300 1200 40 200 100 263 6051 7504 379 2926 4468
550 1000 300 1200 40 200 200 273 7770 9516 391 4336 6533
550 1000 300 1200 40 200 300 283 9574 11339 405 5847 8402
550 1000 300 1200 40 200 400 293 11470 13017 419 7436 10110
550 1000 300 1200 40 225 0 255 4401 5207 366 1578 2023
550 1000 300 1200 40 225 100 265 6048 7504 379 2926 4468
550 1000 300 1200 40 225 200 274 7767 9516 392 4336 6533
550 1000 300 1200 40 225 300 284 9571 11339 405 5847 8402
550 1000 300 1200 40 225 400 295 11466 13017 419 7436 10110
550 1000 300 1200 40 250 0 257 4399 5207 366 1578 2023
550 1000 300 1200 40 250 100 266 6045 7504 379 2926 4468
550 1000 300 1200 40 250 200 276 7764 9516 392 4336 6533
550 1000 300 1200 40 250 300 286 9567 11339 405 5847 8402
550 1000 300 1200 40 250 400 296 11463 13017 419 7436 10110
550 1000 300 1200 40 275 0 258 4396 5207 367 1578 2023
550 1000 300 1200 40 275 100 268 6042 7504 379 2926 4468
550 1000 300 1200 40 275 200 277 7761 9516 392 4336 6533
550 1000 300 1200 40 275 300 288 9564 11339 405 5847 8402
550 1000 300 1200 40 275 400 298 11460 13017 419 7436 10110
550 1000 300 1200 40 300 0 260 4393 5207 367 1578 2023
550 1000 300 1200 40 300 100 269 6039 7504 379 2926 4468
550 1000 300 1200 40 300 200 279 7757 9516 392 4336 6533
550 1000 300 1200 40 300 300 289 9561 11339 405 5847 8402
550 1000 300 1200 40 300 400 300 11456 13017 419 7436 10110
550 1000 300 1200 50 200 0 255 4430 5207 370 1595 2023
550 1000 300 1200 50 200 100 265 6081 7504 383 2948 4468
550 1000 300 1200 50 200 200 274 7804 9516 396 4363 6533
550 1000 300 1200 50 200 300 284 9612 11339 409 5878 8402
550 1000 300 1200 50 200 400 295 11513 13017 424 7473 10110
550 1000 300 1200 50 225 0 257 4428 5207 370 1595 2023
550 1000 300 1200 50 225 100 266 6078 7504 383 2948 4468
550 1000 300 1200 50 225 200 276 7801 9516 396 4362 6533
550 1000 300 1200 50 225 300 286 9609 11339 410 5878 8402
550 1000 300 1200 50 225 400 296 11510 13017 424 7473 10110
550 1000 300 1200 50 250 0 258 4425 5207 370 1595 2023
550 1000 300 1200 50 250 100 268 6075 7504 383 2948 4468
550 1000 300 1200 50 250 200 278 7797 9516 396 4362 6533
550 1000 300 1200 50 250 300 288 9606 11339 410 5878 8402
