VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
600 1000 300 1200 10 200 0 251 4750 5207 352 1663 2023
600 1000 300 1200 10 200 100 262 6532 7504 365 3071 4468
600 1000 300 1200 10 200 200 273 8402 9516 380 4563 6533
600 1000 300 1200 10 200 300 284 10378 11339 395 6182 8402
600 1000 300 1200 10 200 400 296 12462 13017 411 7897 10110
600 1000 300 1200 10 225 0 253 4747 5207 352 1663 2023
600 1000 300 1200 10 225 100 264 6528 7504 365 3071 4468
600 1000 300 1200 10 225 200 275 8399 9516 380 4563 6533
600 1000 300 1200 10 225 300 286 10374 11339 395 6182 8402
600 1000 300 1200 10 225 400 298 12458 13017 411 7897 10110
600 1000 300 1200 10 250 0 255 4744 5207 352 1663 2023
600 1000 300 1200 10 250 100 265 6525 7504 366 3071 4468
600 1000 300 1200 10 250 200 276 8395 9516 380 4563 6533
600 1000 300 1200 10 250 300 288 10370 11339 395 6182 8402
600 1000 300 1200 10 250 400 300 12454 13017 411 7897 10110
600 1000 300 1200 10 275 0 256 4740 5207 352 1663 2023
600 1000 300 1200 10 275 100 267 6521 7504 366 3071 4468
600 1000 300 1200 10 275 200 278 8391 9516 380 4563 6533
600 1000 300 1200 10 275 300 290 10366 11339 396 6182 8402
600 1000 300 1200 10 275 400 302 12450 13017 411 7897 10110
600 1000 300 1200 10 300 0 258 4737 5207 352 1663 2023
600 1000 300 1200 10 300 100 269 6518 7504 366 3071 4468
600 1000 300 1200 10 300 200 280 8388 9516 380 4563 6533
600 1000 300 1200 10 300 300 292 10362 11339 396 6182 8402
600 1000 300 1200 10 300 400 304 12446 13017 411 7897 10110
600 1000 300 1200 20 200 0 254 4795 5207 359 1697 2023
600 1000 300 1200 20 200 100 264 6585 7504 373 3115 4468
600 1000 300 1200 20 200 200 276 8464 9516 388 4618 6533
600 1000 300 1200 20 200 300 287 10448 11339 404 6248 8402
600 1000 300 1200 20 200 400 299 12542 13017 420 7976 10110
600 1000 300 1200 20 225 0 255 4792 5207 359 1697 2023
600 1000 300 1200 20 225 100 266 6580 7504 373 3115 4468
600 1000 300 1200 20 225 200 277 8460 9516 388 4618 6533
600 1000 300 1200 20 225 300 289 10445 11339 404 6248 8402
600 1000 300 1200 20 225 400 301 12538 13017 420 7976 10110
600 1000 300 1200 20 250 0 257 4789 5207 359 1697 2023
600 1000 300 1200 20 250 100 268 6578 7504 373 3115 4468
600 1000 300 1200 20 250 200 279 8456 9516 388 4618 6533
600 1000 300 1200 20 250 300 291 10441 11339 404 6248 8402
600 1000 300 1200 20 250 400 303 12534 13017 420 7976 10110
600 1000 300 1200 20 275 0 259 4785 5207 359 1697 2023
600 1000 300 1200 20 275 100 270 6575 7504 373 3115 4468
600 1000 300 1200 20 275 200 281 8453 9516 388 4618 6533
600 1000 300 1200 20 275 300 293 10437 11339 404 6248 8402
600 1000 300 1200 20 275 400 305 12530 13017 420 7976 10110
600 1000 300 1200 20 300 0 260 4782 5207 359 1697 2023
600 1000 300 1200 20 300 100 271 6571 7504 373 3115 4468
600 1000 300 1200 20 300 200 283 8449 9516 388 4618 6533
600 1000 300 1200 20 300 300 295 10433 11339 404 6248 8402
600 1000 300 1200 20 300 400 307 12526 13017 420 7976 10110
600 1000 300 1200 30 200 0 256 4833 5207 364 1725 2023
600 1000 300 1200 30 200 100 267 6629 7504 379 3148 4468
600 1000 300 1200 30 200 200 278 8515 9516 394 4660 6533
600 1000 300 1200 30 200 300 289 10507 11339 410 6297 8402
600 1000 300 1200 30 200 400 302 12606 13017 426 8036 10110
600 1000 300 1200 30 225 0 257 4830 5207 365 1723 2023
600 1000 300 1200 30 225 100 268 6626 7504 379 3148 4468
600 1000 300 1200 30 225 200 280 8511 9516 394 4660 6533
600 1000 300 1200 30 225 300 291 10503 11339 410 6297 8402
600 1000 300 1200 30 225 400 303 12603 13017 426 8035 10110
600 1000 300 1200 30 250 0 259 4827 5207 365 1723 2023
600 1000 300 1200 30 250 100 270 6623 7504 379 3148 4468
600 1000 300 1200 30 250 200 281 8508 9516 394 4660 6533
600 1000 300 1200 30 250 300 293 10499 11339 410 6297 8402
600 1000 300 1200 30 250 400 305 12598 13017 426 8035 10110
600 1000 300 1200 30 275 0 261 4824 5207 365 1723 2023
600 1000 300 1200 30 275 100 272 6619 7504 379 3148 4468
600 1000 300 1200 30 275 200 283 8504 9516 394 4660 6533
600 1000 300 1200 30 275 300 295 10495 11339 410 6297 8402
600 1000 300 1200 30 275 400 307 12595 13017 427 8035 10110
