VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
625 1000 300 1200 10 200 0 253 5034 5207 353 1764 2023
625 1000 300 1200 10 200 100 265 6819 7504 368 3147 4468
625 1000 300 1200 10 200 200 277 8722 9516 384 4644 6533
625 1000 300 1200 10 200 300 290 10753 11339 400 6293 8402
625 1000 300 1200 10 200 400 303 12911 13017 419 8060 10110
625 1000 300 1200 10 225 0 255 5031 5207 353 1764 2023
625 1000 300 1200 10 225 100 267 6815 7504 368 3147 4468
625 1000 300 1200 10 225 200 279 8717 9516 384 4644 6533
625 1000 300 1200 10 225 300 292 10749 11339 400 6293 8402
625 1000 300 1200 10 225 400 305 12906 13017 419 8060 10110
625 1000 300 1200 10 250 0 257 5027 5207 353 1764 2023
625 1000 300 1200 10 250 100 269 6811 7504 368 3147 4468
625 1000 300 1200 10 250 200 281 8713 9516 385 4644 6533
625 1000 300 1200 10 250 300 294 10744 11339 400 6293 8402
625 1000 300 1200 10 250 400 307 12902 13017 419 8060 10110
625 1000 300 1200 10 275 0 258 5023 5207 353 1764 2023
625 1000 300 1200 10 275 100 270 6807 7504 368 3147 4468
625 1000 300 1200 10 275 200 283 8709 9516 385 4644 6533
625 1000 300 1200 10 275 300 296 10740 11339 402 6293 8402
625 1000 300 1200 10 275 400 309 12897 13017 419 8060 10110
625 1000 300 1200 10 300 0 260 5020 5207 353 1764 2023
625 1000 300 1200 10 300 100 272 6804 7504 368 3147 4468
625 1000 300 1200 10 300 200 285 8705 9516 385 4644 6533
625 1000 300 1200 10 300 300 298 10736 11339 402 6293 8402
625 1000 300 1200 10 300 400 311 12892 13017 419 8060 10110
625 1000 300 1200 20 200 0 256 5084 5207 360 1802 2023
625 1000 300 1200 20 200 100 268 6877 7504 376 3195 4468
625 1000 300 1200 20 200 200 280 8789 9516 393 4703 6533
625 1000 300 1200 20 200 300 293 10830 11339 410 6364 8402
625 1000 300 1200 20 200 400 306 12998 13017 428 8144 10110
625 1000 300 1200 20 225 0 258 5080 5207 360 1802 2023
625 1000 300 1200 20 225 100 269 6873 7504 376 3195 4468
625 1000 300 1200 20 225 200 282 8785 9516 393 4703 6533
625 1000 300 1200 20 225 300 295 10825 11339 410 6364 8402
625 1000 300 1200 20 225 400 308 12992 13017 428 8144 10110
625 1000 300 1200 20 250 0 259 5077 5207 360 1801 2023
625 1000 300 1200 20 250 100 271 6869 7504 376 3195 4468
625 1000 300 1200 20 250 200 284 8781 9516 393 4703 6533
625 1000 300 1200 20 250 300 297 10821 11339 410 6364 8402
625 1000 300 1200 20 250 400 310 12989 13017 428 8144 10110
625 1000 300 1200 20 275 0 261 5073 5207 360 1801 2023
625 1000 300 1200 20 275 100 273 6866 7504 376 3195 4468
625 1000 300 1200 20 275 200 286 8776 9516 393 4703 6533
625 1000 300 1200 20 275 300 299 10817 11339 410 6364 8402
625 1000 300 1200 20 275 400 312 12984 13017 428 8143 10110
625 1000 300 1200 20 300 0 263 5069 5207 361 1801 2023
625 1000 300 1200 20 300 100 275 6862 7504 376 3195 4468
625 1000 300 1200 20 300 200 288 8772 9516 393 4702 6533
625 1000 300 1200 20 300 300 301 10813 11339 410 6364 8402
625 1000 300 1200 20 300 400 314 12980 13017 428 8143 10110
625 1000 300 1200 30 200 0 258 5126 5207 366 1831 2023
625 1000 300 1200 30 200 100 270 6926 7504 382 3232 4468
625 1000 300 1200 30 200 200 282 8844 9516 398 4747 6533
625 1000 300 1200 30 200 300 295 10893 11339 417 6417 8402
625 1000 300 1200 30 200 400 309 13069 13017 434 8207 10110
625 1000 300 1200 30 225 0 260 5122 5207 366 1831 2023
625 1000 300 1200 30 225 100 272 6922 7504 382 3232 4468
625 1000 300 1200 30 225 200 284 8840 9516 398 4747 6533
625 1000 300 1200 30 225 300 297 10889 11339 417 6417 8402
625 1000 300 1200 30 225 400 311 13064 13017 434 8207 10110
625 1000 300 1200 30 250 0 261 5119 5207 366 1831 2023
625 1000 300 1200 30 250 100 274 6918 7504 382 3232 4468
625 1000 300 1200 30 250 200 286 8836 9516 398 4747 6533
625 1000 300 1200 30 250 300 299 10885 11339 417 6417 8402
625 1000 300 1200 30 250 400 313 13060 13017 434 8206 10110
625 1000 300 1200 30 275 0 263 5115 5207 366 1831 2023
625 1000 300 1200 30 275 100 275 6913 7504 382 3231 4468
625 1000 300 1200 30 275 200 288 8832 9516 398 4747 6533
625 1000 300 1200 30 275 300 301 10880 11339 417 6417 8402
625 1000 300 1200 30 275 400 315 13056 13017 434 8206 10110
625 1000 300 1200 30 300 0 265 5111 5207 366 1831 2023
625 1000 300 1200 30 300 100 277 6909 7504 382 3231 4468
625 1000 300 1200 30 300 200 290 8828 9516 398 4747 6533
625 1000 300 1200 30 300 300 303 10876 11339 417 6417 8402
625 1000 300 1200 30 300 400 317 13050 13017 434 8206 10110
625 1000 300 1200 40 200 0 260 5163 5207 371 1855 2023
625 1000 300 1200 40 200 100 272 6968 7504 387 3262 4468
625 1000 300 1200 40 200 200 284 8893 9516 404 4785 6533
625 1000 300 1200 40 200 300 297 10948 11339 422 6462 8402
625 1000 300 1200 40 200 400 311 13131 13017 440 8258 10110
625 1000 300 1200 40 225 0 262 5159 5207 371 1855 2023
625 1000 300 1200 40 225 100 274 6963 7504 387 3262 4468
625 1000 300 1200 40 225 200 286 8889 9516 404 4785 6533
625 1000 300 1200 40 225 300 299 10944 11339 422 6461 8402
625 1000 300 1200 40 225 400 313 13125 13017 441 8258 10110
625 1000 300 1200 40 250 0 263 5155 5207 371 1855 2023
625 1000 300 1200 40 250 100 276 6961 7504 387 3262 4468
625 1000 300 1200 40 250 200 288 8885 9516 404 4784 6533
625 1000 300 1200 40 250 300 301 10939 11339 422 6461 8402
625 1000 300 1200 40 250 400 315 13122 13017 441 8258 10110
625 1000 300 1200 40 275 0 265 5152 5207 371 1855 2023
625 1000 300 1200 40 275 100 277 6957 7504 388 3262 4468
625 1000 300 1200 40 275 200 290 8881 9516 405 4784 6533
625 1000 300 1200 40 275 300 303 10935 11339 422 6461 8402
