VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
650 1000 300 1200 10 200 0 256 5376 5207 354 1885 2023
650 1000 300 1200 10 200 100 269 7197 7504 372 3288 4468
650 1000 300 1200 10 200 200 283 9161 9516 390 4828 6533
650 1000 300 1200 10 200 300 297 11278 11339 409 6547 8402
650 1000 300 1200 10 200 400 311 13541 13017 428 8402 10110
650 1000 300 1200 10 225 0 258 5372 5207 354 1885 2023
650 1000 300 1200 10 225 100 271 7192 7504 372 3288 4468
650 1000 300 1200 10 225 200 285 9156 9516 390 4828 6533
650 1000 300 1200 10 225 300 299 11273 11339 409 6547 8402
650 1000 300 1200 10 225 400 313 13535 13017 428 8402 10110
650 1000 300 1200 10 250 0 259 5368 5207 354 1885 2023
650 1000 300 1200 10 250 100 273 7188 7504 372 3288 4468
650 1000 300 1200 10 250 200 287 9151 9516 390 4828 6533
650 1000 300 1200 10 250 300 301 11269 11339 409 6547 8402
650 1000 300 1200 10 250 400 316 13530 13017 428 8402 10110
650 1000 300 1200 10 275 0 261 5364 5207 355 1884 2023
650 1000 300 1200 10 275 100 275 7184 7504 372 3288 4468
650 1000 300 1200 10 275 200 289 9147 9516 390 4828 6533
650 1000 300 1200 10 275 300 303 11264 11339 409 6547 8402
650 1000 300 1200 10 275 400 318 13525 13017 428 8402 10110
650 1000 300 1200 10 300 0 263 5360 5207 355 1884 2023
650 1000 300 1200 10 300 100 277 7180 7504 372 3288 4468
650 1000 300 1200 10 300 200 291 9142 9516 390 4828 6533
650 1000 300 1200 10 300 300 305 11259 11339 409 6547 8402
650 1000 300 1200 10 300 400 320 13519 13017 428 8402 10110
650 1000 300 1200 20 200 0 258 5431 5207 362 1927 2023
650 1000 300 1200 20 200 100 272 7260 7504 380 3340 4468
650 1000 300 1200 20 200 200 286 9235 9516 398 4892 6533
650 1000 300 1200 20 200 300 300 11363 11339 417 6623 8402
650 1000 300 1200 20 200 400 314 13637 13017 438 8493 10110
650 1000 300 1200 20 225 0 260 5427 5207 362 1927 2023
650 1000 300 1200 20 225 100 274 7257 7504 380 3340 4468
650 1000 300 1200 20 225 200 288 9230 9516 398 4892 6533
650 1000 300 1200 20 225 300 302 11358 11339 417 6623 8402
650 1000 300 1200 20 225 400 317 13630 13017 438 8493 10110
650 1000 300 1200 20 250 0 262 5423 5207 362 1927 2023
650 1000 300 1200 20 250 100 276 7253 7504 380 3340 4468
650 1000 300 1200 20 250 200 290 9226 9516 398 4892 6533
650 1000 300 1200 20 250 300 304 11353 11339 417 6623 8402
650 1000 300 1200 20 250 400 319 13626 13017 438 8493 10110
650 1000 300 1200 20 275 0 264 5419 5207 362 1927 2023
650 1000 300 1200 20 275 100 278 7248 7504 380 3340 4468
650 1000 300 1200 20 275 200 292 9221 9516 398 4892 6533
650 1000 300 1200 20 275 300 306 11349 11339 417 6623 8402
650 1000 300 1200 20 275 400 321 13621 13017 438 8493 10110
650 1000 300 1200 20 300 0 266 5415 5207 362 1927 2023
650 1000 300 1200 20 300 100 280 7244 7504 380 3340 4468
650 1000 300 1200 20 300 200 294 9217 9516 398 4892 6533
650 1000 300 1200 20 300 300 308 11344 11339 417 6623 8402
650 1000 300 1200 20 300 400 324 13616 13017 438 8493 10110
650 1000 300 1200 30 200 0 261 5478 5207 368 1959 2023
650 1000 300 1200 30 200 100 274 7315 7504 386 3379 4468
650 1000 300 1200 30 200 200 288 9297 9516 405 4941 6533
650 1000 300 1200 30 200 300 302 11433 11339 425 6682 8402
650 1000 300 1200 30 200 400 317 13715 13017 445 8561 10110
650 1000 300 1200 30 225 0 262 5474 5207 368 1959 2023
650 1000 300 1200 30 225 100 276 7310 7504 386 3379 4468
650 1000 300 1200 30 225 200 290 9292 9516 405 4941 6533
650 1000 300 1200 30 225 300 305 11428 11339 425 6682 8402
650 1000 300 1200 30 225 400 319 13710 13017 445 8561 10110
650 1000 300 1200 30 250 0 264 5470 5207 368 1959 2023
650 1000 300 1200 30 250 100 278 7307 7504 386 3379 4468
650 1000 300 1200 30 250 200 292 9287 9516 405 4941 6533
650 1000 300 1200 30 250 300 307 11423 11339 425 6682 8402
650 1000 300 1200 30 250 400 322 13705 13017 445 8561 10110
650 1000 300 1200 30 275 0 266 5466 5207 368 1959 2023
650 1000 300 1200 30 275 100 280 7302 7504 386 3379 4468
650 1000 300 1200 30 275 200 294 9283 9516 405 4940 6533
650 1000 300 1200 30 275 300 309 11418 11339 425 6682 8402
650 1000 300 1200 30 275 400 324 13700 13017 445 8561 10110
650 1000 300 1200 30 300 0 268 5462 5207 368 1959 2023
650 1000 300 1200 30 300 100 282 7298 7504 387 3379 4468
650 1000 300 1200 30 300 200 296 9278 9516 405 4940 6533
650 1000 300 1200 30 300 300 311 11414 11339 425 6682 8402
650 1000 300 1200 30 300 400 326 13694 13017 445 8561 10110
650 1000 300 1200 40 200 0 263 5519 5207 373 1986 2023
650 1000 300 1200 40 200 100 276 7362 7504 392 3413 4468
650 1000 300 1200 40 200 200 290 9350 9516 411 4981 6533
650 1000 300 1200 40 200 300 305 11494 11339 430 6730 8402
650 1000 300 1200 40 200 400 320 13783 13017 451 8618 10110
650 1000 300 1200 40 225 0 264 5515 5207 373 1986 2023
650 1000 300 1200 40 225 100 278 7358 7504 392 3413 4468
650 1000 300 1200 40 225 200 292 9345 9516 411 4981 6533
650 1000 300 1200 40 225 300 307 11489 11339 430 6730 8402
650 1000 300 1200 40 225 400 322 13778 13017 451 8618 10110
650 1000 300 1200 40 250 0 266 5511 5207 373 1986 2023
650 1000 300 1200 40 250 100 280 7353 7504 392 3413 4468
650 1000 300 1200 40 250 200 294 9341 9516 411 4981 6533
650 1000 300 1200 40 250 300 309 11484 11339 430 6730 8402
650 1000 300 1200 40 250 400 324 13773 13017 451 8618 10110
650 1000 300 1200 40 275 0 268 5506 5207 373 1986 2023
650 1000 300 1200 40 275 100 282 7349 7504 392 3413 4468
650 1000 300 1200 40 275 200 296 9336 9516 411 4981 6533
650 1000 300 1200 40 275 300 311 11479 11339 430 6730 8402
650 1000 300 1200 40 275 400 326 13768 13017 451 8617 10110
650 1000 300 1200 40 300 0 270 5502 5207 374 1986 2023
650 1000 300 1200 40 300 100 284 7345 7504 392 3413 4468
650 1000 300 1200 40 300 200 299 9332 9516 411 4981 6533
650 1000 300 1200 40 300 300 313 11474 11339 430 6730 8402
650 1000 300 1200 40 300 400 329 13763 13017 451 8617 10110
650 1000 300 1200 50 200 0 264 5555 5207 378 2010 2023
650 1000 300 1200 50 200 100 278 7403 7504 396 3443 4468
650 1000 300 1200 50 200 200 292 9398 9516 415 5016 6533
650 1000 300 1200 50 200 300 307 11547 11339 436 6771 8402
650 1000 300 1200 50 200 400 322 13843 13017 456 8666 10110
650 1000 300 1200 50 225 0 266 5551 5207 378 2010 2023
650 1000 300 1200 50 225 100 280 7400 7504 396 3443 4468
650 1000 300 1200 50 225 200 294 9393 9516 415 5016 6533
650 1000 300 1200 50 225 300 309 11543 11339 436 6771 8402
650 1000 300 1200 50 225 400 324 13838 13017 456 8666 10110
650 1000 300 1200 50 250 0 268 5547 5207 378 2010 2023
650 1000 300 1200 50 250 100 282 7396 7504 396 3443 4468
650 1000 300 1200 50 250 200 296 9389 9516 415 5016 6533
650 1000 300 1200 50 250 300 311 11538 11339 436 6771 8402
650 1000 300 1200 50 250 400 326 13833 13017 457 8666 10110
650 1000 300 1200 50 275 0 270 5543 5207 378 2010 2023
650 1000 300 1200 50 275 100 284 7391 7504 396 3443 4468
650 1000 300 1200 50 275 200 298 9384 9516 415 5016 6533
650 1000 300 1200 50 275 300 313 11533 11339 436 6771 8402
650 1000 300 1200 50 275 400 329 13827 13017 457 8666 10110
650 1000 300 1200 50 300 0 272 5539 5207 378 2010 2023
650 1000 300 1200 50 300 100 286 7387 7504 396 3443 4468
650 1000 300 1200 50 300 200 301 9379 9516 415 5016 6533
650 1000 300 1200 50 300 300 316 11528 11339 436 6771 8402
650 1000 300 1200 50 300 400 331 13823 13017 457 8666 10110
650 1000 300 1200 60 200 0 266 5589 5207 382 2031 2023
650 1000 300 1200 60 200 100 280 7442 7504 400 3469 4468
650 1000 300 1200 60 200 200 294 9441 9516 420 5047 6533
650 1000 300 1200 60 200 300 309 11596 11339 440 6808 8402
650 1000 300 1200 60 200 400 324 13898 13017 461 8709 10110
650 1000 300 1200 60 225 0 268 5585 5207 382 2031 2023
650 1000 300 1200 60 225 100 282 7438 7504 400 3469 4468
650 1000 300 1200 60 225 200 296 9437 9516 420 5047 6533
650 1000 300 1200 60 225 300 311 11591 11339 440 6808 8402
650 1000 300 1200 60 225 400 326 13893 13017 461 8709 10110
650 1000 300 1200 60 250 0 270 5581 5207 382 2031 2023
650 1000 300 1200 60 250 100 284 7434 7504 400 3469 4468
650 1000 300 1200 60 250 200 298 9432 9516 420 5047 6533
650 1000 300 1200 60 250 300 313 11587 11339 441 6808 8402
650 1000 300 1200 60 250 400 328 13888 13017 461 8709 10110
650 1000 300 1200 60 275 0 272 5577 5207 382 2031 2023
650 1000 300 1200 60 275 100 286 7430 7504 400 3469 4468
650 1000 300 1200 60 275 200 300 9427 9516 420 5047 6533
650 1000 300 1200 60 275 300 315 11582 11339 441 6808 8402
650 1000 300 1200 60 275 400 331 13883 13017 461 8709 10110
650 1000 300 1200 60 300 0 274 5573 5207 382 2031 2023
650 1000 300 1200 60 300 100 288 7425 7504 400 3469 4468
650 1000 300 1200 60 300 200 302 9423 9516 420 5047 6533
650 1000 300 1200 60 300 300 317 11577 11339 441 6808 8402
650 1000 300 1200 60 300 400 333 13877 13017 462 8708 10110
650 1000 300 1200 70 200 0 267 5620 5207 385 2051 2023
650 1000 300 1200 70 200 100 281 7478 7504 404 3492 4468
650 1000 300 1200 70 200 200 295 9481 9516 424 5075 6533
650 1000 300 1200 70 200 300 310 11641 11339 445 6841 8402
650 1000 300 1200 70 200 400 325 13948 13017 466 8747 10110
650 1000 300 1200 70 225 0 269 5616 5207 385 2051 2023
650 1000 300 1200 70 225 100 283 7473 7504 404 3492 4468
650 1000 300 1200 70 225 200 298 9477 9516 424 5075 6533
650 1000 300 1200 70 225 300 312 11636 11339 445 6841 8402
650 1000 300 1200 70 225 400 328 13943 13017 466 8747 10110
650 1000 300 1200 70 250 0 271 5612 5207 386 2051 2023
650 1000 300 1200 70 250 100 285 7469 7504 404 3492 4468
650 1000 300 1200 70 250 200 300 9472 9516 424 5075 6533
650 1000 300 1200 70 250 300 315 11631 11339 445 6841 8402
650 1000 300 1200 70 250 400 330 13938 13017 466 8747 10110
650 1000 300 1200 70 275 0 273 5608 5207 386 2050 2023
650 1000 300 1200 70 275 100 287 7464 7504 404 3492 4468
650 1000 300 1200 70 275 200 302 9467 9516 424 5075 6533
650 1000 300 1200 70 275 300 317 11627 11339 445 6841 8402
650 1000 300 1200 70 275 400 332 13933 13017 466 8747 10110
650 1000 300 1200 70 300 0 275 5604 5207 386 2050 2023
650 1000 300 1200 70 300 100 289 7461 7504 405 3492 4468
650 1000 300 1200 70 300 200 304 9463 9516 424 5075 6533
650 1000 300 1200 70 300 300 319 11622 11339 445 6841 8402
650 1000 300 1200 70 300 400 335 13927 13017 466 8747 10110
650 1000 300 1400 10 200 0 256 5011 5207 354 1755 2023
650 1000 300 1400 10 200 100 269 6496 7504 372 2866 4468
650 1000 300 1400 10 200 200 283 8160 9516 390 4144 6533
650 1000 300 1400 10 200 300 297 10006 11339 409 5623 8402
650 1000 300 1400 10 200 400 311 12020 13017 428 7257 10110
650 1000 300 1400 10 225 0 258 5007 5207 354 1755 2023
650 1000 300 1400 10 225 100 271 6492 7504 372 2866 4468
650 1000 300 1400 10 225 200 285 8155 9516 390 4144 6533
650 1000 300 1400 10 225 300 299 10002 11339 409 5622 8402
650 1000 300 1400 10 225 400 313 12015 13017 428 7257 10110
650 1000 300 1400 10 250 0 259 5004 5207 354 1755 2023
650 1000 300 1400 10 250 100 273 6487 7504 372 2866 4468
650 1000 300 1400 10 250 200 287 8151 9516 390 4144 6533
650 1000 300 1400 10 250 300 301 9997 11339 409 5622 8402
650 1000 300 1400 10 250 400 316 12010 13017 428 7257 10110
650 1000 300 1400 10 275 0 261 5000 5207 355 1755 2023
650 1000 300 1400 10 275 100 275 6483 7504 372 2866 4468
650 1000 300 1400 10 275 200 289 8147 9516 390 4144 6533
650 1000 300 1400 10 275 300 303 9992 11339 409 5622 8402
650 1000 300 1400 10 275 400 318 12005 13017 428 7257 10110
650 1000 300 1400 10 300 0 263 4996 5207 355 1755 2023
650 1000 300 1400 10 300 100 277 6480 7504 372 2866 4468
650 1000 300 1400 10 300 200 291 8143 9516 390 4144 6533
650 1000 300 1400 10 300 300 305 9988 11339 409 5622 8402
650 1000 300 1400 10 300 400 320 12000 13017 428 7257 10110
650 1000 300 1400 20 200 0 258 5063 5207 362 1793 2023
650 1000 300 1400 20 200 100 272 6555 7504 380 2913 4468
650 1000 300 1400 20 200 200 286 8228 9516 398 4202 6533
650 1000 300 1400 20 200 300 300 10083 11339 417 5691 8402
650 1000 300 1400 20 200 400 314 12107 13017 438 7338 10110
650 1000 300 1400 20 225 0 260 5059 5207 362 1793 2023
650 1000 300 1400 20 225 100 274 6551 7504 380 2913 4468
650 1000 300 1400 20 225 200 288 8224 9516 398 4201 6533
650 1000 300 1400 20 225 300 302 10079 11339 417 5691 8402
650 1000 300 1400 20 225 400 317 12102 13017 438 7338 10110
650 1000 300 1400 20 250 0 262 5055 5207 362 1793 2023
650 1000 300 1400 20 250 100 276 6547 7504 380 2913 4468
650 1000 300 1400 20 250 200 290 8219 9516 398 4201 6533
650 1000 300 1400 20 250 300 304 10074 11339 417 5691 8402
650 1000 300 1400 20 250 400 319 12097 13017 438 7338 10110
650 1000 300 1400 20 275 0 264 5051 5207 362 1793 2023
650 1000 300 1400 20 275 100 278 6543 7504 380 2913 4468
650 1000 300 1400 20 275 200 292 8215 9516 398 4201 6533
650 1000 300 1400 20 275 300 306 10069 11339 417 5691 8402
650 1000 300 1400 20 275 400 321 12092 13017 438 7338 10110
650 1000 300 1400 20 300 0 266 5048 5207 362 1793 2023
650 1000 300 1400 20 300 100 280 6539 7504 380 2913 4468
650 1000 300 1400 20 300 200 294 8211 9516 398 4201 6533
650 1000 300 1400 20 300 300 308 10065 11339 417 5691 8402
650 1000 300 1400 20 300 400 324 12087 13017 438 7338 10110
650 1000 300 1400 30 200 0 261 5106 5207 368 1823 2023
650 1000 300 1400 30 200 100 274 6605 7504 386 2950 4468
650 1000 300 1400 30 200 200 288 8284 9516 405 4245 6533
650 1000 300 1400 30 200 300 302 10147 11339 425 5743 8402
650 1000 300 1400 30 200 400 317 12178 13017 445 7399 10110
650 1000 300 1400 30 225 0 262 5102 5207 368 1823 2023
650 1000 300 1400 30 225 100 276 6601 7504 386 2949 4468
650 1000 300 1400 30 225 200 290 8280 9516 405 4245 6533
650 1000 300 1400 30 225 300 305 10142 11339 425 5743 8402
650 1000 300 1400 30 225 400 319 12174 13017 445 7399 10110
650 1000 300 1400 30 250 0 264 5099 5207 368 1823 2023
650 1000 300 1400 30 250 100 278 6597 7504 386 2949 4468
650 1000 300 1400 30 250 200 292 8276 9516 405 4245 6533
650 1000 300 1400 30 250 300 307 10138 11339 425 5743 8402
650 1000 300 1400 30 250 400 322 12169 13017 445 7399 10110
650 1000 300 1400 30 275 0 266 5095 5207 368 1823 2023
650 1000 300 1400 30 275 100 280 6593 7504 386 2949 4468
650 1000 300 1400 30 275 200 294 8271 9516 405 4245 6533
650 1000 300 1400 30 275 300 309 10133 11339 425 5742 8402
650 1000 300 1400 30 275 400 324 12164 13017 445 7399 10110
650 1000 300 1400 30 300 0 268 5091 5207 368 1823 2023
650 1000 300 1400 30 300 100 282 6589 7504 387 2949 4468
650 1000 300 1400 30 300 200 296 8267 9516 405 4245 6533
650 1000 300 1400 30 300 300 311 10128 11339 425 5742 8402
650 1000 300 1400 30 300 400 326 12159 13017 445 7398 10110
650 1000 300 1400 40 200 0 263 5144 5207 373 1849 2023
650 1000 300 1400 40 200 100 276 6648 7504 392 2980 4468
650 1000 300 1400 40 200 200 290 8333 9516 411 4281 6533
650 1000 300 1400 40 200 300 305 10202 11339 430 5786 8402
650 1000 300 1400 40 200 400 320 12240 13017 451 7449 10110
650 1000 300 1400 40 225 0 264 5140 5207 373 1849 2023
650 1000 300 1400 40 225 100 278 6644 7504 392 2980 4468
650 1000 300 1400 40 225 200 292 8329 9516 411 4281 6533
650 1000 300 1400 40 225 300 307 10197 11339 430 5786 8402
650 1000 300 1400 40 225 400 322 12235 13017 451 7449 10110
650 1000 300 1400 40 250 0 266 5136 5207 373 1848 2023
650 1000 300 1400 40 250 100 280 6640 7504 392 2980 4468
650 1000 300 1400 40 250 200 294 8325 9516 411 4281 6533
650 1000 300 1400 40 250 300 309 10193 11339 430 5785 8402
650 1000 300 1400 40 250 400 324 12230 13017 451 7449 10110
650 1000 300 1400 40 275 0 268 5133 5207 373 1848 2023
650 1000 300 1400 40 275 100 282 6636 7504 392 2980 4468
650 1000 300 1400 40 275 200 296 8320 9516 411 4281 6533
650 1000 300 1400 40 275 300 311 10188 11339 430 5785 8402
650 1000 300 1400 40 275 400 326 12226 13017 451 7449 10110
650 1000 300 1400 40 300 0 270 5129 5207 374 1848 2023
650 1000 300 1400 40 300 100 284 6632 7504 392 2980 4468
650 1000 300 1400 40 300 200 299 8316 9516 411 4281 6533
650 1000 300 1400 40 300 300 313 10183 11339 430 5785 8402
650 1000 300 1400 40 300 400 329 12221 13017 451 7449 10110
650 1000 300 1400 50 200 0 264 5178 5207 378 1871 2023
650 1000 300 1400 50 200 100 278 6687 7504 396 3006 4468
650 1000 300 1400 50 200 200 292 8377 9516 415 4313 6533
650 1000 300 1400 50 200 300 307 10251 11339 436 5823 8402
650 1000 300 1400 50 200 400 322 12295 13017 456 7492 10110
650 1000 300 1400 50 225 0 266 5174 5207 378 1871 2023
650 1000 300 1400 50 225 100 280 6683 7504 396 3006 4468
650 1000 300 1400 50 225 200 294 8373 9516 415 4313 6533
650 1000 300 1400 50 225 300 309 10246 11339 436 5823 8402
650 1000 300 1400 50 225 400 324 12290 13017 456 7492 10110
650 1000 300 1400 50 250 0 268 5171 5207 378 1871 2023
650 1000 300 1400 50 250 100 282 6679 7504 396 3006 4468
650 1000 300 1400 50 250 200 296 8368 9516 415 4313 6533
650 1000 300 1400 50 250 300 311 10242 11339 436 5822 8402
650 1000 300 1400 50 250 400 326 12285 13017 457 7492 10110
650 1000 300 1400 50 275 0 270 5167 5207 378 1870 2023
650 1000 300 1400 50 275 100 284 6675 7504 396 3006 4468
650 1000 300 1400 50 275 200 298 8364 9516 415 4313 6533
650 1000 300 1400 50 275 300 313 10237 11339 436 5822 8402
650 1000 300 1400 50 275 400 329 12280 13017 457 7492 10110
650 1000 300 1400 50 300 0 272 5163 5207 378 1870 2023
650 1000 300 1400 50 300 100 286 6671 7504 396 3006 4468
650 1000 300 1400 50 300 200 301 8360 9516 415 4313 6533
650 1000 300 1400 50 300 300 316 10233 11339 436 5822 8402
650 1000 300 1400 50 300 400 331 12276 13017 457 7492 10110
650 1000 300 1400 60 200 0 266 5209 5207 382 1890 2023
650 1000 300 1400 60 200 100 280 6722 7504 400 3030 4468
650 1000 300 1400 60 200 200 294 8417 9516 420 4341 6533
650 1000 300 1400 60 200 300 309 10296 11339 440 5855 8402
650 1000 300 1400 60 200 400 324 12345 13017 461 7530 10110
650 1000 300 1400 60 225 0 268 5206 5207 382 1890 2023
650 1000 300 1400 60 225 100 282 6718 7504 400 3030 4468
650 1000 300 1400 60 225 200 296 8412 9516 420 4341 6533
650 1000 300 1400 60 225 300 311 10291 11339 440 5855 8402
650 1000 300 1400 60 225 400 326 12340 13017 461 7530 10110
650 1000 300 1400 60 250 0 270 5202 5207 382 1890 2023
650 1000 300 1400 60 250 100 284 6714 7504 400 3030 4468
650 1000 300 1400 60 250 200 298 8408 9516 420 4341 6533
650 1000 300 1400 60 250 300 313 10286 11339 441 5855 8402
650 1000 300 1400 60 250 400 328 12335 13017 461 7530 10110
650 1000 300 1400 60 275 0 272 5198 5207 382 1890 2023
650 1000 300 1400 60 275 100 286 6710 7504 400 3030 4468
650 1000 300 1400 60 275 200 300 8404 9516 420 4341 6533
650 1000 300 1400 60 275 300 315 10282 11339 441 5855 8402
650 1000 300 1400 60 275 400 331 12330 13017 461 7530 10110
650 1000 300 1400 60 300 0 274 5194 5207 382 1890 2023
650 1000 300 1400 60 300 100 288 6705 7504 400 3030 4468
650 1000 300 1400 60 300 200 302 8399 9516 420 4340 6533
650 1000 300 1400 60 300 300 317 10277 11339 441 5855 8402
650 1000 300 1400 60 300 400 333 12325 13017 462 7530 10110
650 1000 300 1400 70 200 0 267 5238 5207 385 1908 2023
650 1000 300 1400 70 200 100 281 6755 7504 404 3051 4468
650 1000 300 1400 70 200 200 295 8453 9516 424 4366 6533
650 1000 300 1400 70 200 300 310 10337 11339 445 5885 8402
650 1000 300 1400 70 200 400 325 12390 13017 466 7564 10110
650 1000 300 1400 70 225 0 269 5235 5207 385 1908 2023
650 1000 300 1400 70 225 100 283 6751 7504 404 3051 4468
650 1000 300 1400 70 225 200 298 8449 9516 424 4366 6533
650 1000 300 1400 70 225 300 312 10332 11339 445 5885 8402
650 1000 300 1400 70 225 400 328 12385 13017 466 7564 10110
650 1000 300 1400 70 250 0 271 5231 5207 386 1908 2023
650 1000 300 1400 70 250 100 285 6747 7504 404 3051 4468
650 1000 300 1400 70 250 200 300 8445 9516 424 4366 6533
650 1000 300 1400 70 250 300 315 10327 11339 445 5885 8402
650 1000 300 1400 70 250 400 330 12381 13017 466 7564 10110
650 1000 300 1400 70 275 0 273 5227 5207 386 1908 2023
650 1000 300 1400 70 275 100 287 6743 7504 404 3051 4468
650 1000 300 1400 70 275 200 302 8440 9516 424 4366 6533
650 1000 300 1400 70 275 300 317 10323 11339 445 5885 8402
650 1000 300 1400 70 275 400 332 12376 13017 466 7564 10110
650 1000 300 1400 70 300 0 275 5223 5207 386 1908 2023
650 1000 300 1400 70 300 100 289 6739 7504 405 3051 4468
650 1000 300 1400 70 300 200 304 8436 9516 424 4366 6533
650 1000 300 1400 70 300 300 319 10318 11339 445 5885 8402
650 1000 300 1400 70 300 400 335 12371 13017 466 7564 10110
650 1000 300 1600 10 200 0 256 4525 5207 354 1581 2023
650 1000 300 1600 10 200 100 269 5852 7504 372 2534 4468
650 1000 300 1600 10 200 200 283 7375 9516 390 3672 6533
650 1000 300 1600 10 200 300 297 9094 11339 409 5021 8402
650 1000 300 1600 10 200 400 311 10994 13017 428 6540 10110
650 1000 300 1600 10 225 0 258 4522 5207 354 1581 2023
650 1000 300 1600 10 225 100 271 5848 7504 372 2534 4468
650 1000 300 1600 10 225 200 285 7370 9516 390 3671 6533
650 1000 300 1600 10 225 300 299 9089 11339 409 5021 8402
650 1000 300 1600 10 225 400 313 10989 13017 428 6540 10110
650 1000 300 1600 10 250 0 259 4518 5207 354 1581 2023
650 1000 300 1600 10 250 100 273 5845 7504 372 2534 4468
650 1000 300 1600 10 250 200 287 7366 9516 390 3671 6533
650 1000 300 1600 10 250 300 301 9085 11339 409 5021 8402
650 1000 300 1600 10 250 400 316 10985 13017 428 6540 10110
650 1000 300 1600 10 275 0 261 4515 5207 355 1581 2023
650 1000 300 1600 10 275 100 275 5841 7504 372 2534 4468
650 1000 300 1600 10 275 200 289 7362 9516 390 3671 6533
