VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
575 1000 300 1200 40 300 300 294 10108 11339 410 6156 8402
575 1000 300 1200 40 300 400 305 12125 13017 425 7836 10110
575 1000 300 1200 50 200 0 257 4646 5207 372 1675 2023
575 1000 300 1200 50 200 100 267 6404 7504 385 3097 4468
575 1000 300 1200 50 200 200 278 8239 9516 398 4589 6533
575 1000 300 1200 50 200 300 288 10164 11339 413 6190 8402
575 1000 300 1200 50 200 400 300 12186 13017 430 7876 10110
575 1000 300 1200 50 225 0 259 4643 5207 372 1675 2023
575 1000 300 1200 50 225 100 269 6401 7504 385 3097 4468
575 1000 300 1200 50 225 200 279 8235 9516 398 4589 6533
575 1000 300 1200 50 225 300 290 10160 11339 413 6190 8402
575 1000 300 1200 50 225 400 301 12182 13017 430 7876 10110
575 1000 300 1200 50 250 0 260 4640 5207 372 1674 2023
575 1000 300 1200 50 250 100 270 6397 7504 385 3097 4468
575 1000 300 1200 50 250 200 281 8232 9516 398 4589 6533
575 1000 300 1200 50 250 300 292 10157 11339 413 6190 8402
575 1000 300 1200 50 250 400 303 12179 13017 430 7876 10110
575 1000 300 1200 50 275 0 262 4637 5207 372 1674 2023
575 1000 300 1200 50 275 100 272 6395 7504 385 3097 4468
575 1000 300 1200 50 275 200 283 8229 9516 400 4588 6533
575 1000 300 1200 50 275 300 294 10153 11339 413 6190 8402
575 1000 300 1200 50 275 400 305 12175 13017 430 7876 10110
575 1000 300 1200 50 300 0 263 4634 5207 372 1674 2023
575 1000 300 1200 50 300 100 274 6392 7504 385 3096 4468
575 1000 300 1200 50 300 200 284 8225 9516 400 4588 6533
575 1000 300 1200 50 300 300 295 10150 11339 415 6190 8402
575 1000 300 1200 50 300 400 307 12172 13017 430 7876 10110
575 1000 300 1200 60 200 0 259 4672 5207 375 1691 2023
575 1000 300 1200 60 200 100 269 6433 7504 389 3117 4468
575 1000 300 1200 60 200 200 279 8272 9516 403 4614 6533
575 1000 300 1200 60 200 300 290 10202 11339 417 6220 8402
575 1000 300 1200 60 200 400 301 12229 13017 434 7911 10110
575 1000 300 1200 60 225 0 260 4669 5207 376 1691 2023
575 1000 300 1200 60 225 100 270 6431 7504 389 3117 4468
575 1000 300 1200 60 225 200 281 8269 9516 403 4614 6533
575 1000 300 1200 60 225 300 292 10198 11339 417 6220 8402
575 1000 300 1200 60 225 400 303 12225 13017 434 7911 10110
