VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
600 1000 0 0 0 0 0 1339 59 125
600 1000 0 0 0 0 100 1380 434 2184
600 1000 0 0 0 0 200 1424 885 3868
600 1000 0 0 0 0 300 1469 1405 5362
600 1000 0 0 0 0 400 1516 1993 6722
600 1000 0 0 0 0 500 1565 2646 7979
600 1000 0 0 0 0 600 1615 3364 9152
600 1000 0 0 0 0 700 1667 4143 10254
600 1000 0 0 0 0 800 1720 4983 11296
600 1000 0 0 0 0 900 1773 5881 12283
600 1000 0 0 0 60 0 1339 59 125
600 1000 0 0 0 60 100 1380 434 2184
600 1000 0 0 0 60 200 1424 885 3868
600 1000 0 0 0 60 300 1469 1405 5362
600 1000 0 0 0 60 400 1516 1993 6722
600 1000 0 0 0 60 500 1565 2646 7979
600 1000 0 0 0 60 600 1615 3364 9152
600 1000 0 0 0 60 700 1667 4143 10254
600 1000 0 0 0 60 800 1720 4983 11296
600 1000 0 0 0 60 900 1773 5881 12283
600 1000 0 0 0 120 0 1339 59 125
600 1000 0 0 0 120 100 1380 434 2184
600 1000 0 0 0 120 200 1424 885 3868
600 1000 0 0 0 120 300 1469 1405 5362
600 1000 0 0 0 120 400 1516 1993 6722
600 1000 0 0 0 120 500 1565 2646 7979
600 1000 0 0 0 120 600 1615 3364 9152
600 1000 0 0 0 120 700 1667 4143 10254
600 1000 0 0 0 120 800 1720 4983 11296
600 1000 0 0 0 120 900 1773 5881 12283
600 1000 0 0 0 180 0 1339 59 125
600 1000 0 0 0 180 100 1380 434 2184
600 1000 0 0 0 180 200 1424 885 3868
600 1000 0 0 0 180 300 1469 1405 5362
600 1000 0 0 0 180 400 1516 1993 6722
600 1000 0 0 0 180 500 1565 2646 7979
600 1000 0 0 0 180 600 1615 3364 9152
600 1000 0 0 0 180 700 1667 4143 10254
600 1000 0 0 0 180 800 1720 4983 11296
600 1000 0 0 0 180 900 1773 5881 12283
600 1000 0 0 0 240 0 1339 59 125
600 1000 0 0 0 240 100 1380 434 2184
600 1000 0 0 0 240 200 1424 885 3868
600 1000 0 0 0 240 300 1469 1405 5362
600 1000 0 0 0 240 400 1516 1993 6722
600 1000 0 0 0 240 500 1565 2646 7979
600 1000 0 0 0 240 600 1615 3364 9152
600 1000 0 0 0 240 700 1667 4143 10254
600 1000 0 0 0 240 800 1720 4983 11296
600 1000 0 0 0 240 900 1773 5881 12283
