VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
550 1000 0 0 0 0 0 1336 55 125
550 1000 0 0 0 0 100 1370 387 2184
550 1000 0 0 0 0 200 1406 777 3868
550 1000 0 0 0 0 300 1444 1222 5362
550 1000 0 0 0 0 400 1483 1721 6722
550 1000 0 0 0 0 500 1524 2274 7979
550 1000 0 0 0 0 600 1566 2881 9152
550 1000 0 0 0 0 700 1610 3540 10254
550 1000 0 0 0 0 800 1654 4250 11296
550 1000 0 0 0 0 900 1700 5013 12283
550 1000 0 0 0 60 0 1336 55 125
550 1000 0 0 0 60 100 1370 387 2184
550 1000 0 0 0 60 200 1406 777 3868
550 1000 0 0 0 60 300 1444 1222 5362
550 1000 0 0 0 60 400 1483 1721 6722
550 1000 0 0 0 60 500 1524 2274 7979
550 1000 0 0 0 60 600 1566 2881 9152
550 1000 0 0 0 60 700 1610 3540 10254
550 1000 0 0 0 60 800 1654 4250 11296
550 1000 0 0 0 60 900 1700 5013 12283
550 1000 0 0 0 120 0 1336 55 125
550 1000 0 0 0 120 100 1370 387 2184
550 1000 0 0 0 120 200 1406 777 3868
550 1000 0 0 0 120 300 1444 1222 5362
550 1000 0 0 0 120 400 1483 1721 6722
550 1000 0 0 0 120 500 1524 2274 7979
550 1000 0 0 0 120 600 1566 2881 9152
550 1000 0 0 0 120 700 1610 3540 10254
550 1000 0 0 0 120 800 1654 4250 11296
550 1000 0 0 0 120 900 1700 5013 12283
550 1000 0 0 0 180 0 1336 55 125
550 1000 0 0 0 180 100 1370 387 2184
550 1000 0 0 0 180 200 1406 777 3868
550 1000 0 0 0 180 300 1444 1222 5362
550 1000 0 0 0 180 400 1483 1721 6722
550 1000 0 0 0 180 500 1524 2274 7979
550 1000 0 0 0 180 600 1566 2881 9152
550 1000 0 0 0 180 700 1610 3540 10254
550 1000 0 0 0 180 800 1654 4250 11296
550 1000 0 0 0 180 900 1700 5013 12283
550 1000 0 0 0 240 0 1336 55 125
550 1000 0 0 0 240 100 1370 387 2184
550 1000 0 0 0 240 200 1406 777 3868
550 1000 0 0 0 240 300 1444 1222 5362
550 1000 0 0 0 240 400 1483 1721 6722
550 1000 0 0 0 240 500 1524 2274 7979
550 1000 0 0 0 240 600 1566 2881 9152
550 1000 0 0 0 240 700 1610 3540 10254
550 1000 0 0 0 240 800 1654 4250 11296
550 1000 0 0 0 240 900 1700 5013 12283
550 1000 0 0 0 300 0 1336 55 125
550 1000 0 0 0 300 100 1370 387 2184
550 1000 0 0 0 300 200 1406 777 3868
550 1000 0 0 0 300 300 1444 1222 5362
550 1000 0 0 0 300 400 1483 1721 6722
550 1000 0 0 0 300 500 1524 2274 7979
550 1000 0 0 0 300 600 1566 2881 9152
550 1000 0 0 0 300 700 1610 3540 10254
550 1000 0 0 0 300 800 1654 4250 11296
550 1000 0 0 0 300 900 1700 5013 12283
550 1000 0 0 0 360 0 1336 55 125
550 1000 0 0 0 360 100 1370 387 2184
550 1000 0 0 0 360 200 1406 777 3868
550 1000 0 0 0 360 300 1444 1222 5362
550 1000 0 0 0 360 400 1483 1721 6722
550 1000 0 0 0 360 500 1524 2274 7979
