VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
575 1000 0 0 0 0 0 1337 57 125
575 1000 0 0 0 0 100 1375 408 2184
575 1000 0 0 0 0 200 1414 823 3868
575 1000 0 0 0 0 300 1455 1302 5362
575 1000 0 0 0 0 400 1498 1840 6722
575 1000 0 0 0 0 500 1542 2438 7979
575 1000 0 0 0 0 600 1587 3094 9152
575 1000 0 0 0 0 700 1635 3807 10254
575 1000 0 0 0 0 800 1684 4577 11296
575 1000 0 0 0 0 900 1734 5401 12283
575 1000 0 0 0 60 0 1337 57 125
575 1000 0 0 0 60 100 1375 408 2184
575 1000 0 0 0 60 200 1414 823 3868
575 1000 0 0 0 60 300 1455 1302 5362
575 1000 0 0 0 60 400 1498 1840 6722
575 1000 0 0 0 60 500 1542 2438 7979
575 1000 0 0 0 60 600 1587 3094 9152
575 1000 0 0 0 60 700 1635 3807 10254
575 1000 0 0 0 60 800 1684 4577 11296
575 1000 0 0 0 60 900 1734 5401 12283
575 1000 0 0 0 120 0 1337 57 125
575 1000 0 0 0 120 100 1375 408 2184
575 1000 0 0 0 120 200 1414 823 3868
575 1000 0 0 0 120 300 1455 1302 5362
575 1000 0 0 0 120 400 1498 1840 6722
575 1000 0 0 0 120 500 1542 2438 7979
575 1000 0 0 0 120 600 1587 3094 9152
575 1000 0 0 0 120 700 1635 3807 10254
575 1000 0 0 0 120 800 1684 4577 11296
575 1000 0 0 0 120 900 1734 5401 12283
575 1000 0 0 0 180 0 1337 57 125
575 1000 0 0 0 180 100 1375 408 2184
575 1000 0 0 0 180 200 1414 823 3868
575 1000 0 0 0 180 300 1455 1302 5362
575 1000 0 0 0 180 400 1498 1840 6722
575 1000 0 0 0 180 500 1542 2438 7979
575 1000 0 0 0 180 600 1587 3094 9152
575 1000 0 0 0 180 700 1635 3807 10254
575 1000 0 0 0 180 800 1684 4577 11296
575 1000 0 0 0 180 900 1734 5401 12283
575 1000 0 0 0 240 0 1337 57 125
575 1000 0 0 0 240 100 1375 408 2184
575 1000 0 0 0 240 200 1414 823 3868
575 1000 0 0 0 240 300 1455 1302 5362
