VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
625 1000 0 0 0 0 0 1340 62 125
625 1000 0 0 0 0 100 1387 470 2184
625 1000 0 0 0 0 200 1435 963 3868
625 1000 0 0 0 0 300 1486 1537 5362
625 1000 0 0 0 0 400 1539 2186 6722
625 1000 0 0 0 0 500 1593 2908 7979
625 1000 0 0 0 0 600 1649 3700 9152
625 1000 0 0 0 0 700 1705 4559 10254
625 1000 0 0 0 0 800 1764 5482 11296
625 1000 0 0 0 0 900 1823 6468 12283
625 1000 0 0 0 60 0 1340 62 125
625 1000 0 0 0 60 100 1387 470 2184
625 1000 0 0 0 60 200 1435 963 3868
625 1000 0 0 0 60 300 1486 1537 5362
625 1000 0 0 0 60 400 1539 2186 6722
625 1000 0 0 0 60 500 1593 2908 7979
625 1000 0 0 0 60 600 1649 3700 9152
625 1000 0 0 0 60 700 1705 4559 10254
625 1000 0 0 0 60 800 1764 5482 11296
625 1000 0 0 0 60 900 1823 6468 12283
625 1000 0 0 0 120 0 1340 62 125
625 1000 0 0 0 120 100 1387 470 2184
625 1000 0 0 0 120 200 1435 963 3868
625 1000 0 0 0 120 300 1486 1537 5362
625 1000 0 0 0 120 400 1539 2186 6722
625 1000 0 0 0 120 500 1593 2908 7979
625 1000 0 0 0 120 600 1649 3700 9152
625 1000 0 0 0 120 700 1705 4559 10254
625 1000 0 0 0 120 800 1764 5482 11296
625 1000 0 0 0 120 900 1823 6468 12283
625 1000 0 0 0 180 0 1340 62 125
625 1000 0 0 0 180 100 1387 470 2184
625 1000 0 0 0 180 200 1435 963 3868
625 1000 0 0 0 180 300 1486 1537 5362
625 1000 0 0 0 180 400 1539 2186 6722
625 1000 0 0 0 180 500 1593 2908 7979
625 1000 0 0 0 180 600 1649 3700 9152
625 1000 0 0 0 180 700 1705 4559 10254
625 1000 0 0 0 180 800 1764 5482 11296
625 1000 0 0 0 180 900 1823 6468 12283
625 1000 0 0 0 240 0 1340 62 125
625 1000 0 0 0 240 100 1387 470 2184
625 1000 0 0 0 240 200 1435 963 3868
625 1000 0 0 0 240 300 1486 1537 5362
625 1000 0 0 0 240 400 1539 2186 6722
