VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR XA_SWIR XB_SWIR XC_SWIR 
550 1075 0 0 0 0 0 202 2800 5207 291 950 2023 1336 55 125
550 1075 0 0 0 0 100 208 3526 7504 300 1490 4468 1370 387 2184
550 1075 0 0 0 0 200 215 4366 9516 309 2129 6533 1406 777 3868
550 1075 0 0 0 0 300 223 5319 11339 319 2883 8402 1444 1222 5362
550 1075 0 0 0 0 400 230 6385 13017 330 3728 10110 1483 1721 6722
550 1075 0 0 0 0 500 238 7566 14584 340 4680 11700 1524 2274 7979
550 1075 0 0 0 0 600 246 8867 16061 351 5704 13171 1566 2881 9152
550 1075 0 0 0 0 700 254 10280 17461 362 6829 14566 1610 3540 10254
550 1075 0 0 0 0 800 263 11798 18784 374 8049 15888 1654 4250 11296
550 1075 0 0 0 0 900 271 13411 20040 385 9337 17129 1700 5013 12283
550 1075 0 0 0 60 0 205 2796 5207 291 950 2023 1336 55 125
550 1075 0 0 0 60 100 211 3521 7504 300 1490 4468 1370 387 2184
550 1075 0 0 0 60 200 218 4361 9516 310 2129 6533 1406 777 3868
550 1075 0 0 0 60 300 225 5314 11339 319 2883 8402 1444 1222 5362
550 1075 0 0 0 60 400 233 6380 13017 330 3728 10110 1483 1721 6722
550 1075 0 0 0 60 500 240 7560 14584 340 4679 11700 1524 2274 7979
550 1075 0 0 0 60 600 249 8861 16061 351 5704 13171 1566 2881 9152
550 1075 0 0 0 60 700 258 10274 17461 362 6829 14566 1610 3540 10254
550 1075 0 0 0 60 800 266 11791 18784 374 8049 15888 1654 4250 11296
550 1075 0 0 0 60 900 275 13404 20040 386 9337 17129 1700 5013 12283
550 1075 0 0 0 120 0 206 2792 5207 291 950 2023 1336 55 125
550 1075 0 0 0 120 100 214 3517 7504 300 1490 4468 1370 387 2184
550 1075 0 0 0 120 200 221 4357 9516 310 2129 6533 1406 777 3868
550 1075 0 0 0 120 300 229 5309 11339 320 2883 8402 1444 1222 5362
550 1075 0 0 0 120 400 236 6374 13017 330 3728 10110 1483 1721 6722
550 1075 0 0 0 120 500 244 7555 14584 340 4679 11700 1524 2274 7979
550 1075 0 0 0 120 600 253 8855 16061 351 5704 13171 1566 2881 9152
550 1075 0 0 0 120 700 261 10268 17461 362 6829 14566 1610 3540 10254
550 1075 0 0 0 120 800 270 11785 18784 374 8049 15888 1654 4250 11296
550 1075 0 0 0 120 900 279 13397 20040 386 9337 17129 1700 5013 12283
550 1075 0 0 0 180 0 210 2788 5207 291 950 2023 1336 55 125
550 1075 0 0 0 180 100 217 3513 7504 300 1490 4468 1370 387 2184
550 1075 0 0 0 180 200 223 4352 9516 310 2128 6533 1406 777 3868
550 1075 0 0 0 180 300 232 5304 11339 320 2882 8402 1444 1222 5362
550 1075 0 0 0 180 400 239 6369 13017 330 3728 10110 1483 1721 6722
550 1075 0 0 0 180 500 248 7549 14584 341 4679 11700 1524 2274 7979
550 1075 0 0 0 180 600 256 8849 16061 351 5703 13171 1566 2881 9152
550 1075 0 0 0 180 700 265 10262 17461 363 6829 14566 1610 3540 10254
550 1075 0 0 0 180 800 274 11779 18784 374 8048 15888 1654 4250 11296
550 1075 0 0 0 180 900 283 13391 20040 386 9336 17129 1700 5013 12283
550 1075 0 0 0 240 0 213 2784 5207 291 950 2023 1336 55 125
550 1075 0 0 0 240 100 220 3508 7504 300 1490 4468 1370 387 2184
550 1075 0 0 0 240 200 227 4347 9516 310 2128 6533 1406 777 3868
550 1075 0 0 0 240 300 235 5299 11339 320 2882 8402 1444 1222 5362
550 1075 0 0 0 240 400 243 6364 13017 330 3728 10110 1483 1721 6722
550 1075 0 0 0 240 500 251 7543 14584 341 4679 11700 1524 2274 7979
550 1075 0 0 0 240 600 259 8844 16061 351 5703 13171 1566 2881 9152
550 1075 0 0 0 240 700 268 10256 17461 363 6829 14566 1610 3540 10254
550 1075 0 0 0 240 800 277 11772 18784 374 8048 15888 1654 4250 11296
550 1075 0 0 0 240 900 286 13383 20040 386 9336 17129 1700 5013 12283
