VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR XA_SWIR XB_SWIR XC_SWIR 
650 1075 0 0 15 0 800 298 16670 18784 436 11745 15888 1957 6304 11296
650 1075 0 0 15 0 900 310 18890 20040 451 13569 17129 2028 7424 12283
650 1075 0 0 15 60 0 213 3447 5207 309 1211 2023 1445 71 125
650 1075 0 0 15 60 100 223 4577 7504 324 2032 4468 1502 539 2184
650 1075 0 0 15 60 200 234 5868 9516 338 3008 6533 1561 1109 3868
650 1075 0 0 15 60 300 245 7315 11339 354 4154 8402 1623 1773 5362
650 1075 0 0 15 60 400 256 8908 13017 370 5430 10110 1686 2524 6722
650 1075 0 0 15 60 500 267 10647 14584 386 6848 11700 1752 3357 7979
650 1075 0 0 15 60 600 279 12531 16061 402 8364 13171 1819 4266 9152
650 1075 0 0 15 60 700 291 14535 17461 419 9995 14566 1887 5250 10254
650 1075 0 0 15 60 800 303 16661 18784 436 11745 15888 1957 6304 11296
650 1075 0 0 15 60 900 315 18880 20040 453 13569 17129 2028 7424 12283
650 1075 0 0 15 120 0 216 3442 5207 309 1211 2023 1445 71 125
650 1075 0 0 15 120 100 227 4570 7504 324 2031 4468 1502 539 2184
650 1075 0 0 15 120 200 238 5861 9516 339 3008 6533 1561 1109 3868
650 1075 0 0 15 120 300 249 7308 11339 354 4153 8402 1623 1773 5362
650 1075 0 0 15 120 400 260 8900 13017 370 5430 10110 1686 2524 6722
650 1075 0 0 15 120 500 272 10639 14584 386 6848 11700 1752 3357 7979
650 1075 0 0 15 120 600 284 12523 16061 402 8363 13171 1819 4266 9152
650 1075 0 0 15 120 700 296 14527 17461 419 9995 14566 1887 5250 10254
650 1075 0 0 15 120 800 308 16651 18784 436 11745 15888 1957 6304 11296
650 1075 0 0 15 120 900 320 18870 20040 453 13569 17129 2028 7424 12283
650 1075 0 0 15 180 0 220 3437 5207 309 1211 2023 1445 71 125
650 1075 0 0 15 180 100 231 4564 7504 324 2031 4468 1502 539 2184
650 1075 0 0 15 180 200 241 5854 9516 339 3008 6533 1561 1109 3868
650 1075 0 0 15 180 300 253 7299 11339 354 4153 8402 1623 1773 5362
650 1075 0 0 15 180 400 265 8892 13017 370 5430 10110 1686 2524 6722
650 1075 0 0 15 180 500 276 10630 14584 386 6848 11700 1752 3357 7979
650 1075 0 0 15 180 600 288 12515 16061 403 8363 13171 1819 4266 9152
650 1075 0 0 15 180 700 301 14518 17461 419 9995 14566 1887 5250 10254
650 1075 0 0 15 180 800 313 16642 18784 436 11745 15888 1957 6304 11296
650 1075 0 0 15 180 900 326 18860 20040 453 13569 17129 2028 7424 12283
650 1075 0 0 15 240 0 223 3431 5207 309 1211 2023 1445 71 125
650 1075 0 0 15 240 100 234 4557 7504 324 2031 4468 1502 539 2184
650 1075 0 0 15 240 200 246 5847 9516 339 3008 6533 1561 1109 3868
650 1075 0 0 15 240 300 257 7292 11339 354 4153 8402 1623 1773 5362
650 1075 0 0 15 240 400 269 8884 13017 370 5430 10110 1686 2524 6722
