layer_1 layer_2 layer_3 iter score
18.0000 12.0000 6.0000 1000.0000 0.8831
18.0000 12.0000 9.0000 200.0000 0.8879
18.0000 12.0000 9.0000 600.0000 0.8870
18.0000 12.0000 9.0000 1000.0000 0.8851
18.0000 12.0000 12.0000 200.0000 0.8852
18.0000 12.0000 12.0000 600.0000 0.8847
18.0000 12.0000 12.0000 1000.0000 0.8829
18.0000 24.0000 3.0000 200.0000 0.8907
18.0000 24.0000 3.0000 600.0000 0.8855
18.0000 24.0000 3.0000 1000.0000 0.8888
18.0000 24.0000 6.0000 200.0000 0.8870
18.0000 24.0000 6.0000 600.0000 0.8869
18.0000 24.0000 6.0000 1000.0000 0.8872
18.0000 24.0000 9.0000 200.0000 0.8862
18.0000 24.0000 9.0000 600.0000 0.8857
18.0000 24.0000 9.0000 1000.0000 0.8853
18.0000 24.0000 12.0000 200.0000 0.8869
18.0000 24.0000 12.0000 600.0000 0.8867
18.0000 24.0000 12.0000 1000.0000 0.8903
18.0000 36.0000 3.0000 200.0000 0.8889
18.0000 36.0000 3.0000 600.0000 0.8879
18.0000 36.0000 3.0000 1000.0000 0.6609
18.0000 36.0000 6.0000 200.0000 0.8892
18.0000 36.0000 6.0000 600.0000 0.8845
18.0000 36.0000 6.0000 1000.0000 0.8867
18.0000 36.0000 9.0000 200.0000 0.8824
18.0000 36.0000 9.0000 600.0000 0.8876
18.0000 36.0000 9.0000 1000.0000 0.8850
18.0000 36.0000 12.0000 200.0000 0.8884
18.0000 36.0000 12.0000 600.0000 0.8839
18.0000 36.0000 12.0000 1000.0000 0.8890
18.0000 48.0000 3.0000 200.0000 0.8803
18.0000 48.0000 3.0000 600.0000 0.8848
18.0000 48.0000 3.0000 1000.0000 0.8888
18.0000 48.0000 6.0000 200.0000 0.8869
18.0000 48.0000 6.0000 600.0000 0.8880
18.0000 48.0000 6.0000 1000.0000 0.8891
18.0000 48.0000 9.0000 200.0000 0.8873
18.0000 48.0000 9.0000 600.0000 0.8879
18.0000 48.0000 9.0000 1000.0000 0.8851
18.0000 48.0000 12.0000 200.0000 0.8895
18.0000 48.0000 12.0000 600.0000 0.8883
18.0000 48.0000 12.0000 1000.0000 0.8886
18.0000 60.0000 3.0000 200.0000 0.8879
18.0000 60.0000 3.0000 600.0000 0.8880
18.0000 60.0000 3.0000 1000.0000 0.8856
18.0000 60.0000 6.0000 200.0000 0.8861
18.0000 60.0000 6.0000 600.0000 0.8840
18.0000 60.0000 6.0000 1000.0000 0.8893
18.0000 60.0000 9.0000 200.0000 0.8901
18.0000 60.0000 9.0000 600.0000 0.8876
18.0000 60.0000 9.0000 1000.0000 0.8873
18.0000 60.0000 12.0000 200.0000 0.8884
18.0000 60.0000 12.0000 600.0000 0.8889
18.0000 60.0000 12.0000 1000.0000 0.8896
24.0000 12.0000 3.0000 200.0000 0.8877
24.0000 12.0000 3.0000 600.0000 0.8867
24.0000 12.0000 3.0000 1000.0000 0.8863
24.0000 12.0000 6.0000 200.0000 0.8860
24.0000 12.0000 6.0000 600.0000 0.8862
24.0000 12.0000 6.0000 1000.0000 0.8852
24.0000 12.0000 9.0000 200.0000 0.8873
24.0000 12.0000 9.0000 600.0000 0.8869
24.0000 12.0000 9.0000 1000.0000 0.8805
24.0000 12.0000 12.0000 200.0000 0.8890
24.0000 12.0000 12.0000 600.0000 0.8830
24.0000 12.0000 12.0000 1000.0000 0.8833
24.0000 24.0000 3.0000 200.0000 0.8855
24.0000 24.0000 3.0000 600.0000 0.8890
24.0000 24.0000 3.0000 1000.0000 0.8835
24.0000 24.0000 6.0000 200.0000 0.8891
24.0000 24.0000 6.0000 600.0000 0.8873
24.0000 24.0000 6.0000 1000.0000 0.8881
24.0000 24.0000 9.0000 200.0000 0.8877
24.0000 24.0000 9.0000 600.0000 0.8873
24.0000 24.0000 9.0000 1000.0000 0.8871
24.0000 24.0000 12.0000 200.0000 0.8869
24.0000 24.0000 12.0000 600.0000 0.8883
24.0000 24.0000 12.0000 1000.0000 0.8870
24.0000 36.0000 3.0000 200.0000 0.8879
24.0000 36.0000 3.0000 600.0000 0.8890
24.0000 36.0000 3.0000 1000.0000 0.8834
24.0000 36.0000 6.0000 200.0000 0.8900
24.0000 36.0000 6.0000 600.0000 0.8855
24.0000 36.0000 6.0000 1000.0000 0.8886
24.0000 36.0000 9.0000 200.0000 0.8893
