Start to generate file: class_mod_msg.csv
[  1.  48.   0.   3.   3.]
[  1.  90.   4.   0.   3.]
[  1.  69.   2.   1.   3.]
[  1.  60.   1.   1.   2.]
[ 11.  64.   1.   3.   2.]
[ 11.  58.   1.   3.   2.]
[  1.  72.   2.   1.   3.]
[  1.  60.   1.   1.   3.]
[ 11.  49.   0.   3.   3.]
[  1.  47.   0.   3.   3.]
[ 11.  38.  -1.   0.   3.]
[  5.  40.  -1.   2.   0.]
[ 11.  54.   0.   3.   2.]
[ 11.  67.   2.   3.   2.]
[ 11.  67.   2.   3.   0.]
[ 11.  86.   4.   3.   2.]
[ 11.  85.   4.   3.   0.]
[ 11.  75.   2.   0.   2.]
[ 11.  83.   3.   3.   2.]
[ 11.  45.   0.   3.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  69.   2.   2.   2.]
[ 11.  84.   3.   3.   2.]
[ 11.  77.   3.   0.   2.]
[ 11.  66.   2.   2.   2.]
[ 11.  72.   2.   0.   2.]
[ 11.  62.   1.   0.   2.]
[ 11.  40.  -1.   3.   2.]
[ 11.  25.  -2.   3.   2.]
[ 11.  59.   1.   0.   2.]
[ 11.  83.   3.   3.   2.]
[ 11.  70.   2.   0.   2.]
[ 11.  74.   2.   3.   0.]
[ 11.  84.   3.   2.   0.]
[ 11.  59.   1.   1.   2.]
[ 11.  71.   2.   3.   2.]
[ 11.  85.   4.   3.   2.]
[ 11.  53.   0.   2.   2.]
[ 11.  70.   2.   0.   0.]
[ 11.  62.   1.   0.   0.]
[ 11.  75.   2.   3.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  86.   4.   1.   2.]
[ 11.  80.   3.   3.   2.]
[ 11.  88.   4.   3.   2.]
[ 11.  73.   2.   3.   2.]
[ 11.  92.   4.   3.   2.]
[ 11.  92.   4.   3.   2.]
[ 11.  84.   3.   3.   2.]
[  5.  54.   0.   2.   0.]
[  5.  90.   4.   2.   0.]
[  5.  76.   3.   2.   0.]
[  5.  65.   2.   2.   2.]
[  5.  50.   0.   1.   0.]
[  5.  50.   0.   2.   0.]
[ 11.  60.   1.   0.   2.]
[ 11.  62.   1.   2.   0.]
[  5.  93.   4.   2.   0.]
[ 11.  69.   2.   1.   0.]
[ 11.  90.   4.   1.   2.]
[ 11.  78.   3.   3.   2.]
[ 11.  91.   4.   3.   2.]
[ 11.  87.   4.   1.   0.]
[ 11.  65.   2.   1.   0.]
[ 11.  95.   4.   1.   2.]
[ 11.  98.   5.   1.   2.]
[ 11.  91.   4.   3.   2.]
[  5.  53.   0.   0.   2.]
[  5.  71.   2.   2.   2.]
[ 11.  64.   1.   2.   2.]
[ 11.  65.   2.   3.   2.]
[ 11.  70.   2.   3.   2.]
[ 11.  57.   1.   1.   2.]
[  5.  65.   2.   2.   0.]
[  5.  51.   0.   1.   0.]
[  5.  58.   1.   3.   0.]
[  5.  64.   1.   0.   0.]
[ 11.  75.   2.   3.   0.]
[ 11.  63.   1.   0.   0.]
[ 11.  60.   1.   0.   0.]
[ 11.  73.   2.   3.   2.]
[ 11.  70.   2.   0.   2.]
[  5.  56.   1.   3.   0.]
[  5.  57.   1.   3.   2.]
[  5.  70.   2.   1.   0.]
[  5.  53.   0.   3.   2.]
[ 11.  57.   1.   2.   0.]
[ 11.  55.   0.   3.   0.]
[ 11.  61.   1.   3.   2.]
[ 11.  57.   1.   0.   0.]
[ 11.  78.   3.   0.   2.]
[ 11.  62.   1.   1.   2.]
[ 11.  42.  -1.   1.   1.]
[ 11.  75.   2.   3.   2.]
[  1.  40.  -1.   1.   2.]
[ 11.  48.   0.   3.   2.]
[ 11.  62.   1.   0.   2.]
[ 11.  61.   1.   0.   2.]
[  5.  53.   0.   0.   0.]
[  5.  57.   1.   0.   0.]
[  5.  52.   0.   0.   0.]
[ 11.  60.   1.   0.   0.]
[  5.  73.   2.   3.   0.]
[  5.  63.   1.   2.   2.]
[  5.  55.   0.   3.   2.]
[  5.  68.   2.   1.   2.]
[  5.  49.   0.   0.   2.]
[  5.  55.   0.   0.   3.]
[  5.  70.   2.   3.   3.]
[  5.  63.   1.   0.   2.]
[  5.  77.   3.   2.   3.]
[  1.  44.  -1.   1.   3.]
[ 11.  52.   0.   1.   3.]
[  5.  40.  -1.   3.   3.]
[  1.  75.   2.   1.   3.]
[  1.  79.   3.   1.   3.]
[  1.  83.   3.   1.   3.]
[  1.  87.   4.   1.   3.]
[  1.  87.   4.   1.   3.]
[  1.  50.   0.   0.   3.]
[  1.  56.   1.   0.   3.]
[  1.  78.   3.   1.   3.]
[  1.  79.   3.   1.   3.]
[  1.  78.   3.   2.   3.]
[  1.  54.   0.   1.   3.]
[  5.  35.  -2.   3.   3.]
[  1.  77.   3.   1.   3.]
[  1.  80.   3.   1.   3.]
[ 11.  57.   1.   1.   2.]
[ 11.  64.   1.   2.   2.]
[ 11.  69.   2.   3.   3.]
[  1.  43.  -1.   0.   3.]
[  1.  83.   3.   1.   3.]
[  1.  62.   1.   1.   3.]
[ 11.  55.   0.   1.   3.]
[  1.  66.   2.   1.   3.]
[  5.  53.   0.   2.   3.]
[  1.  57.   1.   3.   3.]
[ 11.  68.   2.   1.   2.]
[ 11.  55.   0.   2.   0.]
[ 11.  65.   2.   2.   0.]
[ 11.  42.  -1.   2.   0.]
[ 11.  78.   3.   3.   0.]
[ 11.  78.   3.   0.   2.]
[ 11.  81.   3.   1.   2.]
[ 11.  84.   3.   3.   2.]
[ 11.  67.   2.   3.   2.]
[ 11.  79.   3.   3.   2.]
[ 11.  54.   0.   3.   2.]
[ 11.  81.   3.   0.   2.]
[ 11.  79.   3.   3.   2.]
[ 11.  59.   1.   0.   2.]
[ 11.   0.  -5.   0.   2.]
[ 11.   4.  -5.   2.   2.]
[ 11.  35.  -2.   2.   2.]
[ 11.  63.   1.   3.   2.]
[ 11.  80.   3.   3.   0.]
[ 11.  60.   1.   0.   0.]
[ 11.  45.   0.   3.   0.]
[  2.  60.   1.   3.   2.]
[ 11.  39.  -1.   2.   0.]
[ 11.  57.   1.   2.   2.]
[ 11.  65.   2.   0.   0.]
[ 11.  74.   2.   3.   2.]
[ 11.  85.   4.   3.   2.]
[ 11.  53.   0.   0.   2.]
[  2.  46.   0.   3.   2.]
[  2.  53.   0.   3.   2.]
[ 11.  80.   3.   3.   2.]
[ 11.  91.   4.   3.   2.]
[ 11.  96.   5.   3.   2.]
[ 11.  90.   4.   3.   2.]
[ 11.  95.   4.   3.   2.]
[ 11.  48.   0.   0.   0.]
[ 11.  87.   4.   3.   2.]
[ 11.  63.   1.   1.   0.]
[ 11.  72.   2.   3.   0.]
[ 11.  71.   2.   3.   0.]
[ 11.  88.   4.   1.   0.]
[ 11.  50.   0.   1.   0.]
[ 11.  58.   1.   3.   0.]
[  5.  67.   2.   0.   0.]
[ 11.  69.   2.   3.   0.]
[ 11.  79.   3.   3.   2.]
[ 11.  70.   2.   3.   2.]
[ 11.  77.   3.   3.   0.]
[ 11.  93.   4.   3.   2.]
[ 11.  93.   4.   3.   2.]
[ 11.  62.   1.   2.   2.]
[ 11.  80.   3.   1.   2.]
[ 11.  75.   2.   3.   2.]
[  5.  66.   2.   0.   2.]
[ 11.  70.   2.   1.   2.]
[ 11.  79.   3.   1.   2.]
[ 11.  69.   2.   3.   2.]
[ 11.  74.   2.   1.   2.]
[ 11.  70.   2.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  79.   3.   0.   2.]
[ 11.  68.   2.   3.   2.]
[ 11.  51.   0.   3.   2.]
[  5.  55.   0.   0.   2.]
[ 11.  69.   2.   0.   0.]
[ 11.  53.   0.   1.   2.]
[ 11.  51.   0.   3.   2.]
[  5.  53.   0.   3.   2.]
[  5.  74.   2.   0.   0.]
[  5.  60.   1.   3.   2.]
[  5.  63.   1.   0.   2.]
[  5.  68.   2.   2.   0.]
[  5.  88.   4.   0.   0.]
[  5.  53.   0.   0.   0.]
[  5.  62.   1.   0.   0.]
[  5.  64.   1.   2.   2.]
[ 11.  55.   0.   0.   2.]
[ 11.  62.   1.   1.   2.]
[ 11.  57.   1.   1.   2.]
[ 11.  62.   1.   0.   2.]
[  5.  70.   2.   0.   2.]
[  5.  57.   1.   0.   2.]
[ 11.  55.   0.   3.   2.]
[ 11.  74.   2.   1.   2.]
[ 11.  84.   3.   3.   2.]
[ 11.  58.   1.   2.   0.]
[ 11.  54.   0.   0.   0.]
[  5.  48.   0.   0.   0.]
[ 11.  62.   1.   0.   2.]
[ 11.  70.   2.   3.   2.]
[  5.  54.   0.   3.   2.]
[  5.  57.   1.   3.   2.]
[  5.  57.   1.   0.   3.]
[  1.  73.   2.   3.   3.]
[  1.  56.   1.   1.   3.]
[  1.  50.   0.   3.   3.]
[  1.  67.   2.   1.   3.]
[  5.  57.   1.   0.   3.]
[ 11.  39.  -1.   0.   3.]
[  1.  54.   0.   1.   3.]
[  1.  84.   3.   1.   3.]
[  1.  67.   2.   1.   3.]
[  5.  40.  -1.   0.   3.]
[  2.  36.  -1.   1.   3.]
[  1.  48.   0.   2.   3.]
[  1.  77.   3.   1.   3.]
[  1.  62.   1.   0.   3.]
[  1.  43.  -1.   0.   3.]
[  1.  47.   0.   1.   3.]
[  1.  37.  -1.   0.   3.]
[  1.  50.   0.   1.   3.]
[  1.  38.  -1.   3.   0.]
[  1.  65.   2.   1.   3.]
[  1.  64.   1.   1.   3.]
[  1.  48.   0.   1.   2.]
[ 11.  60.   1.   2.   2.]
[  1.  64.   1.   1.   3.]
[  1.  76.   3.   0.   3.]
[  1.  72.   2.   1.   3.]
[  1.  64.   1.   3.   3.]
[  1.  62.   1.   1.   3.]
[  1.  68.   2.   1.   3.]
[ 11.  51.   0.   0.   3.]
[  1.  35.  -2.   1.   3.]
[  5.  34.  -2.   3.   3.]
[  5.  37.  -1.   2.   0.]
[ 11.  57.   1.   2.   0.]
[ 11.  68.   2.   3.   0.]
[ 11.  63.   1.   2.   2.]
[ 11.  69.   2.   2.   2.]
[ 11.  75.   2.   0.   2.]
[ 11.  70.   2.   2.   2.]
[ 11.  88.   4.   1.   2.]
[ 11.  80.   3.   2.   2.]
[ 11.  75.   2.   3.   2.]
[ 11.  79.   3.   2.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  82.   3.   0.   2.]
[ 11.  16.  -3.   2.   2.]
[ 2.  0. -5.  1.  2.]
[ 11.  29.  -2.   3.   2.]
[ 11.  60.   1.   3.   2.]
[ 11.  66.   2.   0.   0.]
[ 11.  35.  -2.   0.   0.]
[  2.  62.   1.   3.   2.]
[  2.  67.   2.   3.   0.]
[  5.  50.   0.   2.   2.]
[ 11.  71.   2.   0.   2.]
[ 11.  83.   3.   3.   2.]
[ 11.  69.   2.   0.   2.]
[ 11.  43.  -1.   3.   2.]
[ 11.  79.   3.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  81.   3.   0.   2.]
[ 11.  85.   4.   3.   2.]
[ 11.  99.   5.   1.   2.]
[ 11.  82.   3.   0.   2.]
[ 11.  82.   3.   3.   2.]
[ 11.  67.   2.   3.   2.]
[  5.  44.  -1.   1.   0.]
[  5.  54.   0.   3.   0.]
[ 11.  83.   3.   1.   0.]
[ 11.  49.   0.   3.   2.]
[ 11.  62.   1.   2.   2.]
[ 11.  77.   3.   3.   2.]
[  5.  90.   4.   2.   0.]
[  5.  57.   1.   3.   0.]
[  5.  79.   3.   0.   0.]
[ 11.  56.   1.   3.   0.]
[  5.  85.   4.   2.   0.]
[  5.  69.   2.   3.   0.]
[ 11.  61.   1.   1.   0.]
[  5.  52.   0.   2.   0.]
[  5.  59.   1.   2.   0.]
[ 11.  77.   3.   3.   0.]
[ 11.  52.   0.   3.   0.]
[ 11.  78.   3.   3.   2.]
[ 11.  88.   4.   0.   2.]
[ 11.  85.   4.   3.   2.]
[ 11.  82.   3.   3.   2.]
[ 11.  69.   2.   3.   2.]
[ 11.  79.   3.   1.   2.]
[ 11.  81.   3.   2.   2.]
[ 11.  67.   2.   2.   2.]
[ 11.  73.   2.   3.   2.]
[ 11.  63.   1.   3.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  43.  -1.   1.   2.]
[ 11.  74.   2.   1.   2.]
[ 11.  87.   4.   3.   2.]
[ 11.  77.   3.   3.   2.]
[ 11.  63.   1.   0.   2.]
[  5.  59.   1.   2.   0.]
[  5.  61.   1.   3.   0.]
[  5.  63.   1.   3.   2.]
[ 11.  50.   0.   3.   0.]
[  5.  73.   2.   2.   0.]
[ 11.  59.   1.   0.   2.]
[  5.  67.   2.   0.   2.]
[  5.  81.   3.   2.   2.]
[  5.  82.   3.   0.   0.]
[  5.  65.   2.   0.   0.]
[ 11.  64.   1.   0.   0.]
[  5.  68.   2.   2.   2.]
[  5.  68.   2.   3.   2.]
[ 11.  53.   0.   2.   2.]
[ 11.  60.   1.   1.   2.]
[ 11.  73.   2.   0.   2.]
[ 11.  51.   0.   0.   2.]
[  5.  59.   1.   0.   2.]
[ 11.  61.   1.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  75.   2.   0.   2.]
[ 11.  69.   2.   2.   2.]
[  5.  51.   0.   2.   2.]
[ 11.  54.   0.   0.   0.]
[ 11.  61.   1.   3.   2.]
[ 11.  61.   1.   3.   2.]
[ 12.  33.  -2.   2.   2.]
[  1.  73.   2.   1.   2.]
[  1.  45.   0.   0.   3.]
[  1.  66.   2.   1.   3.]
[  1.  75.   2.   1.   3.]
[  1.  72.   2.   1.   3.]
[  1.  85.   4.   3.   3.]
[  1.  75.   2.   1.   3.]
[  1.  70.   2.   1.   3.]
[  1.  84.   3.   3.   3.]
[  1.  73.   2.   1.   3.]
[  1.  63.   1.   1.   3.]
[ 11.  36.  -1.   0.   3.]
[  1.  67.   2.   3.   3.]
[  1.  61.   1.   0.   3.]
[  1.  74.   2.   3.   3.]
[  1.  71.   2.   1.   3.]
[  1.  56.   1.   1.   3.]
[  1.  83.   3.   1.   3.]
[  1.  36.  -1.   0.   3.]
[  2.  45.   0.   3.   3.]
[  2.  34.  -2.   0.   0.]
[  1.  55.   0.   0.   3.]
[  1.  60.   1.   2.   2.]
[ 11.  51.   0.   1.   2.]
[  1.  46.   0.   3.   3.]
[  1.  58.   1.   3.   3.]
[  2.  38.  -1.   2.   3.]
[ 11.  34.  -2.   3.   3.]
[  1.  37.  -1.   1.   3.]
[  1.  62.   1.   0.   3.]
[  1.  43.  -1.   0.   3.]
[  1.  64.   1.   1.   3.]
[  1.  52.   0.   1.   3.]
[  1.  79.   3.   0.   3.]
[  1.  57.   1.   0.   3.]
[ 11.  64.   1.   0.   0.]
[ 11.  51.   0.   0.   0.]
[ 11.  68.   2.   0.   2.]
[ 11.  51.   0.   2.   0.]
[ 11.  60.   1.   2.   2.]
[ 11.  66.   2.   0.   2.]
[ 11.  68.   2.   3.   2.]
[ 11.  66.   2.   3.   2.]
[ 11.  49.   0.   3.   0.]
[ 11.  77.   3.   0.   2.]
[ 11.  87.   4.   3.   2.]
[ 11.  78.   3.   3.   2.]
[ 11.  76.   3.   3.   2.]
[ 11.  30.  -2.   3.   2.]
[ 11.  10.  -4.   3.   2.]
[ 11.  32.  -2.   0.   2.]
[ 11.  54.   0.   0.   0.]
[  2.  48.   0.   1.   2.]
[ 11.  58.   1.   3.   2.]
[  5.  34.  -2.   2.   2.]
[  2.  56.   1.   1.   2.]
[ 11.  74.   2.   1.   2.]
[ 11.  53.   0.   0.   2.]
[ 11.  61.   1.   3.   2.]
[ 11.  79.   3.   2.   2.]
[ 11.  81.   3.   3.   2.]
[ 11.  79.   3.   3.   2.]
[ 11.  73.   2.   3.   2.]
[ 11.  79.   3.   0.   2.]
[ 11.  89.   4.   0.   2.]
[ 11.  90.   4.   3.   2.]
[ 11.  86.   4.   3.   2.]
[  5.  47.   0.   1.   0.]
[  5.  56.   1.   1.   0.]
[  5.  86.   4.   2.   0.]
[  5.  91.   4.   3.   0.]
[  5.  95.   4.   2.   0.]
[  5.  76.   3.   2.   2.]
[ 11.  65.   2.   1.   2.]
[  5.  61.   1.   2.   2.]
[ 11.  61.   1.   2.   2.]
[  5.  53.   0.   3.   2.]
[  5.  89.   4.   2.   0.]
[  5.  64.   1.   0.   0.]
[  5.  92.   4.   2.   0.]
[  5.  66.   2.   2.   0.]
[  5.  90.   4.   2.   0.]
[ 11.  53.   0.   0.   0.]
[ 11.  68.   2.   3.   2.]
[ 11.  82.   3.   3.   0.]
[  5.  75.   2.   2.   0.]
[  5.  90.   4.   2.   0.]
[ 11.  54.   0.   3.   0.]
[  5.  75.   2.   2.   0.]
[ 11.  82.   3.   3.   2.]
[ 11.  71.   2.   3.   2.]
[ 11.  88.   4.   3.   2.]
[ 11.  95.   4.   3.   2.]
[ 11.  90.   4.   1.   2.]
[ 11.  73.   2.   0.   2.]
[ 11.  69.   2.   0.   2.]
[  5.  52.   0.   2.   2.]
[ 11.  72.   2.   3.   2.]
[ 11.  82.   3.   3.   2.]
[ 11.  54.   0.   2.   3.]
[ 11.  80.   3.   3.   2.]
[ 11.  86.   4.   3.   2.]
[ 11.  83.   3.   3.   2.]
[ 11.  71.   2.   3.   2.]
[  5.  63.   1.   0.   0.]
[  5.  89.   4.   0.   0.]
[  5.  67.   2.   3.   0.]
[  5.  97.   5.   2.   0.]
[ 11.  55.   0.   3.   0.]
[ 11.  71.   2.   3.   2.]
[ 11.  57.   1.   0.   2.]
[ 11.  64.   1.   0.   2.]
[  5.  71.   2.   2.   2.]
[  5.  90.   4.   2.   0.]
[  5.  58.   1.   3.   2.]
[ 11.  55.   0.   0.   2.]
[  5.  53.   0.   3.   2.]
[ 11.  56.   1.   3.   2.]
[ 11.  52.   0.   3.   2.]
[ 11.  57.   1.   0.   2.]
[  1.  50.   0.   0.   2.]
[ 11.  64.   1.   2.   2.]
[ 11.  67.   2.   0.   2.]
[ 11.  54.   0.   0.   0.]
[  5.  54.   0.   3.   0.]
[ 11.  77.   3.   3.   2.]
[ 11.  75.   2.   1.   0.]
[ 11.  54.   0.   0.   0.]
[ 11.  54.   0.   0.   2.]
[  5.  52.   0.   2.   0.]
[ 11.  46.   0.   3.   2.]
[  1.  39.  -1.   3.   2.]
[  1.  92.   4.   0.   3.]
[  1.  78.   3.   1.   3.]
[  1.  53.   0.   3.   3.]
[  1.  58.   1.   3.   3.]
[  1.  79.   3.   0.   3.]
[  1.  79.   3.   1.   3.]
[  1.  62.   1.   1.   3.]
[  1.  48.   0.   0.   3.]
[  1.  80.   3.   1.   3.]
[  1.  87.   4.   1.   3.]
[  1.  74.   2.   1.   3.]
[  1.  52.   0.   3.   3.]
[  1.  67.   2.   3.   3.]
[  1.  56.   1.   2.   3.]
[  1.  89.   4.   1.   3.]
[  1.  73.   2.   1.   3.]
[  1.  48.   0.   1.   3.]
[  1.  73.   2.   1.   3.]
[  1.  59.   1.   0.   3.]
[  1.  55.   0.   1.   0.]
[  1.  52.   0.   2.   3.]
[  1.  33.  -2.   3.   2.]
[ 11.  40.  -1.   2.   2.]
[  1.  58.   1.   2.   3.]
[  1.  48.   0.   1.   3.]
[  1.  32.  -2.   2.   3.]
[  1.  70.   2.   1.   3.]
[  1.  71.   2.   3.   3.]
[  1.  68.   2.   1.   3.]
[  1.  53.   0.   1.   3.]
[  1.  71.   2.   1.   3.]
[  1.  62.   1.   0.   3.]
[ 11.  50.   0.   1.   3.]
[  1.  50.   0.   3.   3.]
[ 11.  37.  -1.   3.   2.]
[  5.  46.   0.   0.   0.]
[ 11.  57.   1.   3.   2.]
[  5.  46.   0.   2.   3.]
[ 11.  63.   1.   3.   2.]
[ 11.  53.   0.   2.   0.]
[ 11.  54.   0.   0.   0.]
[ 11.  61.   1.   3.   0.]
[ 11.  69.   2.   3.   2.]
[ 11.  61.   1.   3.   2.]
[ 11.  88.   4.   3.   2.]
[ 11.  83.   3.   3.   2.]
[ 11.  70.   2.   0.   2.]
[ 11.  73.   2.   0.   2.]
[ 11.  34.  -2.   2.   2.]
[ 11.   0.  -5.   3.   0.]
[ 11.   1.  -5.   3.   2.]
[ 11.  19.  -3.   3.   2.]
[ 11.  43.  -1.   3.   2.]
[ 11.  45.   0.   3.   2.]
[  2.  49.   0.   0.   2.]
[ 11.  84.   3.   1.   2.]
[ 11.  92.   4.   3.   2.]
[ 11.  60.   1.   1.   2.]
[ 11.  43.  -1.   3.   2.]
[ 11.  85.   4.   0.   2.]
[ 11.  92.   4.   1.   2.]
[ 11.  58.   1.   3.   2.]
[ 11.  35.  -2.   0.   2.]
[ 11.  93.   4.   1.   2.]
[ 11.  94.   4.   3.   2.]
[ 11.  91.   4.   3.   2.]
[ 11.  87.   4.   2.   2.]
[ 11.  88.   4.   3.   2.]
[ 11.  53.   0.   3.   2.]
[  5.  54.   0.   2.   0.]
[  5.  29.  -2.   3.   0.]
[  5.  65.   2.   2.   0.]
[  5.  97.   5.   2.   0.]
[  5.  86.   4.   2.   0.]
[  5.  67.   2.   3.   0.]
[ 11.  58.   1.   3.   0.]
[ 11.  53.   0.   1.   0.]
[  5.  57.   1.   1.   2.]
[  5.  70.   2.   2.   2.]
[ 11.  67.   2.   3.   0.]
[  5.  82.   3.   3.   2.]
[ 11.  52.   0.   3.   0.]
[ 11.  51.   0.   3.   0.]
[  5.  66.   2.   0.   0.]
[  5.  54.   0.   3.   0.]
[  5.  76.   3.   0.   0.]
[ 11.  56.   1.   3.   0.]
[ 11.  85.   4.   3.   2.]
[ 11.  56.   1.   3.   0.]
[ 11.  59.   1.   3.   0.]
[ 11.  78.   3.   3.   2.]
[  5.  66.   2.   2.   0.]
[  5.  84.   3.   2.   0.]
[ 11.  57.   1.   3.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  67.   2.   0.   2.]
[ 11.  87.   4.   3.   2.]
[ 11.  89.   4.   1.   2.]
[ 11.  73.   2.   3.   2.]
[ 11.  88.   4.   3.   2.]
[ 11.  70.   2.   0.   2.]
[ 11.  88.   4.   0.   2.]
[ 11.  71.   2.   3.   2.]
[ 11.  84.   3.   1.   2.]
[ 11.  80.   3.   3.   2.]
[ 11.  88.   4.   3.   2.]
[ 11.  71.   2.   2.   2.]
[ 11.  69.   2.   3.   2.]
[ 11.  83.   3.   1.   0.]
[ 11.  77.   3.   3.   0.]
[  5.  74.   2.   2.   0.]
[  5.  74.   2.   2.   0.]
[  5.  77.   3.   2.   0.]
[ 11.  69.   2.   3.   2.]
[ 11.  63.   1.   0.   2.]
[ 11.  68.   2.   0.   2.]
[ 11.  79.   3.   1.   2.]
[ 11.  56.   1.   3.   2.]
[  5.  71.   2.   2.   2.]
[  5.  53.   0.   0.   2.]
[  5.  53.   0.   0.   2.]
[ 11.  59.   1.   3.   2.]
[ 11.  59.   1.   0.   2.]
[ 11.  58.   1.   3.   2.]
[  5.  55.   0.   0.   2.]
[ 11.  52.   0.   3.   2.]
[ 11.  69.   2.   0.   0.]
[ 11.  62.   1.   2.   0.]
[  5.  53.   0.   3.   0.]
[  5.  53.   0.   0.   0.]
[ 11.  70.   2.   3.   0.]
[  5.  62.   1.   3.   0.]
[ 11.  52.   0.   3.   2.]
[ 11.  56.   1.   3.   0.]
[  5.  59.   1.   2.   0.]
[ 11.  64.   1.   3.   2.]
[ 11.  71.   2.   1.   2.]
[  1.  80.   3.   3.   2.]
[  1.  79.   3.   3.   3.]
[  1.  86.   4.   1.   3.]
[  5.  53.   0.   0.   3.]
[  1.  79.   3.   0.   3.]
[  1.  58.   1.   2.   3.]
[  1.  67.   2.   3.   3.]
[  1.  78.   3.   1.   3.]
[  1.  70.   2.   0.   3.]
[  1.  75.   2.   1.   3.]
[  1.  82.   3.   1.   3.]
[  1.  52.   0.   1.   3.]
[  1.  62.   1.   1.   3.]
[  1.  75.   2.   3.   3.]
[  1.  77.   3.   3.   3.]
[  1.  71.   2.   3.   3.]
[  1.  51.   0.   1.   3.]
[  1.  64.   1.   1.   3.]
[  5.  37.  -1.   2.   3.]
[  1.  68.   2.   1.   3.]
[  1.  58.   1.   0.   3.]
[ 11.  37.  -1.   0.   2.]
[ 11.  34.  -2.   3.   3.]
[  1.  53.   0.   0.   3.]
[  5.  38.  -1.   3.   3.]
[  1.  46.   0.   0.   1.]
[  1.  40.  -1.   1.   1.]
[  1.  68.   2.   3.   3.]
[  1.  44.  -1.   2.   3.]
[  1.  66.   2.   2.   3.]
[  1.  42.  -1.   0.   3.]
[  1.  38.  -1.   3.   3.]
[ 11.  56.   1.   3.   0.]
[ 11.  52.   0.   0.   3.]
[  5.  41.  -1.   0.   0.]
[ 11.  46.   0.   2.   2.]
[ 11.  45.   0.   0.   0.]
[  1.  74.   2.   1.   3.]
[  1.  61.   1.   1.   0.]
[ 11.  60.   1.   3.   0.]
[  5.  61.   1.   2.   0.]
[ 11.  59.   1.   0.   2.]
[ 11.  66.   2.   3.   0.]
[ 11.  40.  -1.   0.   2.]
[ 11.  52.   0.   3.   2.]
[ 11.  71.   2.   2.   2.]
[ 11.  91.   4.   3.   2.]
[ 11.  70.   2.   3.   2.]
[ 11.  65.   2.   0.   2.]
[ 11.  44.  -1.   0.   0.]
[ 11.   9.  -4.   3.   0.]
[  2.  13.  -4.   0.   0.]
[  2.  42.  -1.   3.   0.]
[ 11.  53.   0.   0.   0.]
[ 11.  72.   2.   0.   2.]
[ 11.  89.   4.   3.   2.]
[ 11.  78.   3.   3.   2.]
[ 11.  89.   4.   1.   2.]
[ 11.  65.   2.   3.   2.]
[ 11.  75.   2.   3.   2.]
[ 11.  38.  -1.   0.   2.]
[ 11.  75.   2.   3.   2.]
[ 11.  76.   3.   1.   2.]
[ 11.  80.   3.   3.   2.]
[ 11.  77.   3.   2.   2.]
[ 11.  66.   2.   3.   2.]
[ 11.  56.   1.   0.   2.]
[ 11.  42.  -1.   1.   2.]
[  5.  58.   1.   3.   0.]
[  5.  89.   4.   2.   0.]
[  5.  89.   4.   2.   0.]
[  5.  84.   3.   2.   0.]
[  5.  55.   0.   2.   0.]
[  5.  54.   0.   2.   0.]
[  5.  79.   3.   2.   0.]
[  5.  47.   0.   2.   0.]
[  5.  52.   0.   2.   2.]
[ 11.  65.   2.   3.   0.]
[ 11.  84.   3.   0.   2.]
[ 11.  59.   1.   0.   0.]
[  5.  56.   1.   3.   2.]
[ 11.  49.   0.   1.   2.]
[ 11.  65.   2.   3.   0.]
[ 11.  53.   0.   2.   0.]
[  5.  59.   1.   2.   0.]
[ 11.  88.   4.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  59.   1.   3.   2.]
[ 11.  84.   3.   1.   2.]
[ 11.  66.   2.   2.   2.]
[ 11.  67.   2.   3.   0.]
[ 11.  59.   1.   0.   2.]
[ 11.  78.   3.   3.   2.]
[ 11.  67.   2.   0.   0.]
[ 11.  66.   2.   0.   0.]
[ 11.  51.   0.   0.   2.]
[  5.  67.   2.   3.   0.]
[  5.  71.   2.   2.   0.]
[ 11.  63.   1.   1.   2.]
[ 11.  82.   3.   1.   2.]
[ 11.  55.   0.   1.   2.]
[  5.  43.  -1.   0.   2.]
[  5.  51.   0.   0.   2.]
[ 11.  66.   2.   1.   0.]
[ 11.  60.   1.   0.   2.]
[ 11.  71.   2.   3.   2.]
[ 11.  90.   4.   1.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  86.   4.   3.   2.]
[ 11.  85.   4.   3.   2.]
[ 11.  78.   3.   1.   2.]
[ 11.  76.   3.   1.   2.]
[ 11.  84.   3.   1.   2.]
[ 11.  74.   2.   2.   2.]
[  5.  78.   3.   2.   2.]
[  5.  89.   4.   2.   0.]
[  5.  75.   2.   2.   0.]
[ 11.  59.   1.   3.   2.]
[  5.  78.   3.   0.   0.]
[  5.  89.   4.   2.   0.]
[  5.  53.   0.   1.   0.]
[ 11.  68.   2.   1.   0.]
