Start to generate file: class_mod_msg.csv
[  1.  91.   4.   1.   3.]
[  1.  54.   0.   3.   0.]
[  5.  46.   0.   1.   2.]
[  1.  65.   2.   1.   2.]
[  5.  65.   2.   3.   2.]
[   5.  100.    5.    3.    2.]
[  8.  59.   1.   3.   1.]
[   8.  100.    5.    3.    1.]
[   8.  100.    5.    3.    1.]
[   8.  100.    5.    3.    1.]
[  8.  96.   5.   0.   2.]
[  8.  89.   4.   2.   2.]
[  5.  66.   2.   3.   2.]
[  2.  35.  -2.   0.   2.]
[ 11.  59.   1.   3.   2.]
[  5.  51.   0.   3.   2.]
[  5.  52.   0.   0.   0.]
[ 11.  69.   2.   3.   2.]
[ 11.  78.   3.   3.   2.]
[ 11.  55.   0.   3.   2.]
[  5.  59.   1.   3.   0.]
[  5.  51.   0.   2.   0.]
[ 11.  81.   3.   0.   0.]
[ 11.  67.   2.   0.   2.]
[ 11.  41.  -1.   3.   2.]
[  1.  59.   1.   3.   2.]
[ 11.  63.   1.   3.   2.]
[ 11.  51.   0.   3.   2.]
[ 11.  50.   0.   0.   2.]
[  5.  64.   1.   2.   2.]
[ 11.  48.   0.   3.   2.]
[ 11.  63.   1.   3.   2.]
[  5.  49.   0.   0.   0.]
[  2.  44.  -1.   3.   0.]
[  5.  51.   0.   2.   0.]
[  5.  57.   1.   2.   0.]
[  2.  34.  -2.   3.   0.]
[  5.  56.   1.   2.   0.]
[  5.  38.  -1.   2.   2.]
[  5.  52.   0.   0.   0.]
[  2.  80.   3.   3.   0.]
[  2.  71.   2.   0.   3.]
[  1.  60.   1.   3.   2.]
[  5.  84.   3.   2.   0.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    1.]
[  5.  83.   3.   3.   1.]
[  8.  83.   3.   3.   1.]
[  8.  84.   3.   3.   1.]
[  8.  84.   3.   3.   1.]
[  8.  62.   1.   3.   1.]
[  8.  81.   3.   0.   2.]
[  8.  46.   0.   3.   2.]
[ 11.  55.   0.   0.   2.]
[  5.  65.   2.   3.   2.]
[ 11.  55.   0.   3.   2.]
[  5.  54.   0.   0.   0.]
[  5.  54.   0.   2.   0.]
[ 11.  65.   2.   3.   2.]
[ 11.  65.   2.   0.   2.]
[  5.  66.   2.   0.   0.]
[ 11.  59.   1.   0.   0.]
[ 11.  69.   2.   2.   0.]
[ 11.  68.   2.   3.   2.]
[ 11.  59.   1.   3.   2.]
[ 11.  62.   1.   1.   2.]
[  5.  57.   1.   3.   2.]
[  5.  64.   1.   2.   3.]
[ 11.  56.   1.   0.   3.]
[  5.  40.  -1.   3.   2.]
[ 11.  42.  -1.   3.   3.]
[  5.  43.  -1.   3.   3.]
[  5.  55.   0.   0.   0.]
[  2.  56.   1.   0.   0.]
[  5.  46.   0.   0.   0.]
[  5.  42.  -1.   0.   0.]
[  5.  58.   1.   2.   0.]
[  2.  47.   0.   1.   0.]
[  1.  32.  -2.   3.   2.]
[  5.  45.   0.   3.   0.]
[  2.  51.   0.   0.   0.]
[  1.  79.   3.   1.   3.]
[  5.  78.   3.   2.   2.]
[   5.  100.    5.    0.    0.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    2.    0.]
[   5.  100.    5.    3.    2.]
[  5.  74.   2.   3.   1.]
[  8.  67.   2.   3.   1.]
[  5.  67.   2.   3.   1.]
[  5.  56.   1.   3.   1.]
[  5.  69.   2.   3.   1.]
[  5.  69.   2.   3.   2.]
[  5.  50.   0.   3.   2.]
[  1.  77.   3.   3.   3.]
[  5.  51.   0.   3.   3.]
[ 11.  54.   0.   3.   0.]
[  5.  51.   0.   0.   0.]
[ 11.  55.   0.   3.   2.]
[  5.  61.   1.   0.   0.]
[  5.  64.   1.   2.   0.]
[ 11.  77.   3.   3.   0.]
[  5.  54.   0.   0.   0.]
[ 11.  68.   2.   3.   0.]
[ 11.  54.   0.   2.   0.]
[  5.  67.   2.   2.   0.]
[  5.  53.   0.   0.   0.]
[  5.  50.   0.   0.   2.]
[  5.  54.   0.   3.   2.]
[  5.  45.   0.   3.   3.]
[  1.  72.   2.   0.   3.]
[  1.  64.   1.   1.   3.]
[  5.  47.   0.   3.   3.]
[  5.  44.  -1.   3.   3.]
[  5.  50.   0.   3.   3.]
[  5.  42.  -1.   3.   3.]
[ 11.  53.   0.   0.   0.]
[  1.  34.  -2.   3.   0.]
[ 11.  45.   0.   2.   0.]
[  5.  49.   0.   3.   0.]
[  5.  92.   4.   2.   0.]
[  5.  53.   0.   1.   0.]
[  5.  42.  -1.   3.   2.]
[  5.  62.   1.   2.   2.]
[  2.  35.  -2.   0.   3.]
[  1.  80.   3.   1.   1.]
[  5.  92.   4.   0.   2.]
[   5.  100.    5.    0.    0.]
[   5.  100.    5.    3.    0.]
[   5.  100.    5.    2.    0.]
[   5.  100.    5.    2.    0.]
[   5.  100.    5.    3.    2.]
[  5.  85.   4.   3.   1.]
[  5.  63.   1.   3.   1.]
[  5.  76.   3.   3.   1.]
[  5.  72.   2.   3.   1.]
[  5.  60.   1.   3.   1.]
[  5.  82.   3.   2.   2.]
[  5.  73.   2.   3.   2.]
[  5.  41.  -1.   3.   3.]
[  1.  64.   1.   3.   3.]
[  1.  52.   0.   3.   3.]
[  1.  77.   3.   1.   3.]
[  1.  43.  -1.   1.   3.]
[  5.  54.   0.   2.   0.]
[ 11.  66.   2.   3.   0.]
[ 11.  67.   2.   0.   2.]
[ 11.  56.   1.   3.   2.]
[  5.  51.   0.   0.   0.]
[ 11.  68.   2.   3.   2.]
[ 11.  73.   2.   3.   0.]
[  5.  58.   1.   3.   0.]
[ 11.  59.   1.   3.   2.]
[ 11.  50.   0.   2.   2.]
[ 11.  67.   2.   0.   0.]
[ 11.  74.   2.   2.   0.]
[ 11.  57.   1.   0.   2.]
[  1.  60.   1.   0.   3.]
[  1.  56.   1.   1.   3.]
[  1.  71.   2.   1.   0.]
[  1.  86.   4.   1.   3.]
[  1.  82.   3.   1.   3.]
[  1.  92.   4.   1.   3.]
[  1.  65.   2.   0.   3.]
[  1.  55.   0.   3.   3.]
[  5.  32.  -2.   0.   2.]
[  1.  35.  -2.   0.   0.]
[  5.  38.  -1.   3.   2.]
[ 11.  51.   0.   3.   0.]
[  5.  71.   2.   3.   0.]
[  5.  56.   1.   2.   0.]
[ 11.  59.   1.   3.   0.]
[  5.  57.   1.   2.   0.]
[  5.  52.   0.   2.   0.]
[ 11.  70.   2.   3.   1.]
[ 11.  64.   1.   1.   2.]
[  5.  96.   5.   2.   2.]
[   5.  100.    5.    3.    0.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    2.    2.]
[   5.  100.    5.    3.    2.]
